nodeName	altName	nodeAttr[nodesPresent, ]
HAMP	HAMP	brown
CYP1A2	CYP1A2	brown
SPINK1	SPINK1	brown
CYP3A4	CYP3A4	brown
MT1H	MT1H	brown
AKR1B10	AKR1B10	brown
MT1G	MT1G	brown
FCN3	FCN3	brown
CYP2E1	CYP2E1	brown
GPC3	GPC3	brown
CYP2A6	CYP2A6	brown
C9	C9	brown
MT1F	MT1F	brown
MT1M	MT1M	brown
H19	H19	brown
MT1E	MT1E	brown
ADH4	ADH4	brown
LCN2	LCN2	brown
THRSP	THRSP	brown
GSTM2	GSTM2	brown
AKR1B15	AKR1B15	brown
SDS	SDS	brown
SAA1	SAA1	brown
MT1X	MT1X	brown
GCGR	GCGR	brown
HSD17B13	HSD17B13	brown
HGFAC	HGFAC	brown
ADH1C	ADH1C	brown
HSD11B1	HSD11B1	brown
NNMT	NNMT	brown
SLC22A1	SLC22A1	brown
CYP2C8	CYP2C8	brown
TAT	TAT	brown
RNA28S5	RNA28S5	brown
SAA2	SAA2	brown
S100P	S100P	brown
SLC10A1	SLC10A1	brown
APOF	APOF	brown
HPD	HPD	brown
NPW	NPW	brown
CYP8B1	CYP8B1	brown
GSTA2	GSTA2	brown
HEPACAM	HEPACAM	brown
CYP2A7	CYP2A7	brown
ACSL4	ACSL4	brown
SPP2	SPP2	brown
SLCO1B3	SLCO1B3	brown
ALDH3A1	ALDH3A1	brown
CCL20	CCL20	brown
GSTM1	GSTM1	brown
BBOX1	BBOX1	brown
RDH16	RDH16	brown
TDO2	TDO2	brown
GBA3	GBA3	brown
ADH1B	ADH1B	brown
CD24	CD24	brown
MUC13	MUC13	brown
PEG10	PEG10	brown
SERPINA11	SERPINA11	brown
BCHE	BCHE	brown
MT2A	MT2A	brown
FOSB	FOSB	brown
MDK	MDK	brown
SLC25A47	SLC25A47	brown
PCK1	PCK1	brown
PGLYRP2	PGLYRP2	brown
MT1A	MT1A	brown
F9	F9	brown
FNDC5	FNDC5	brown
FOS	FOS	brown
LECT2	LECT2	brown
NAT2	NAT2	brown
CYP2C9	CYP2C9	brown
ENO3	ENO3	brown
CLEC1B	CLEC1B	brown
SHBG	SHBG	brown
LY6E	LY6E	brown
CPS1	CPS1	brown
ADIRF	ADIRF	brown
CLRN3	CLRN3	brown
BHMT	BHMT	brown
ATF5	ATF5	brown
FAM134B	FAM134B	brown
WDR72	WDR72	brown
AFM	AFM	brown
AOX1	AOX1	brown
MBL2	MBL2	brown
FAM83A-AS1	FAM83A-AS1	brown
IGFALS	IGFALS	brown
GLS2	GLS2	brown
SAA4	SAA4	brown
TPR	TPR	brown
APCS	APCS	brown
