nodeName	altName	nodeAttr[nodesPresent, ]
THRSP	THRSP	green
C9	C9	green
MT1G	MT1G	green
FCN3	FCN3	green
GCGR	GCGR	green
HAMP	HAMP	green
MT1F	MT1F	green
MT1H	MT1H	green
MT1M	MT1M	green
CETP	CETP	green
IGFALS	IGFALS	green
MT1E	MT1E	green
MT1X	MT1X	green
MT1A	MT1A	green
MT2A	MT2A	green
SERPINA11	SERPINA11	green
ZG16	ZG16	green
RND3	RND3	green
PGLYRP2	PGLYRP2	green
HSD17B13	HSD17B13	green
CLEC1B	CLEC1B	green
CCL14	CCL14	green
ALDH8A1	ALDH8A1	green
FOSB	FOSB	green
LCAT	LCAT	green
NPC1L1	NPC1L1	green
SLC22A1	SLC22A1	green
BBOX1	BBOX1	green
SKAP1	SKAP1	green
KLKB1	KLKB1	green
FBP1	FBP1	green
AADAT	AADAT	green
FAM134B	FAM134B	green
IGF1	IGF1	green
SLC25A47	SLC25A47	green
CLIC6	CLIC6	green
PHGDH	PHGDH	green
ENO3	ENO3	green
CD14	CD14	green
CYFIP2	CYFIP2	green
ADIRF	ADIRF	green
ADGRG7	ADGRG7	green
KMO	KMO	green
FCN2	FCN2	green
CLEC4G	CLEC4G	green
CDHR2	CDHR2	green
STOM	STOM	green
PPARGC1A	PPARGC1A	green
C8orf4	C8orf4	green
ECM1	ECM1	green
PCOLCE	PCOLCE	green
PROZ	PROZ	green
C1QTNF1	C1QTNF1	green
IGFBP3	IGFBP3	green
ASPG	ASPG	green
VIPR1	VIPR1	green
STEAP3	STEAP3	green
PTH1R	PTH1R	green
CRHBP	CRHBP	green
DBH	DBH	green
CYP4V2	CYP4V2	green
SLC7A2	SLC7A2	green
ATOH8	ATOH8	green
SPIRE1	SPIRE1	green
OXT	OXT	green
ZGPAT	ZGPAT	green
PYROXD2	PYROXD2	green
PRSS8	PRSS8	green
LYVE1	LYVE1	green
HRCT1	HRCT1	green
TRIM15	TRIM15	green
ANXA2	ANXA2	green
CAP2	CAP2	green
REEP6	REEP6	green
ASS1	ASS1	green
KDM8	KDM8	green
CHST7	CHST7	green
MARCO	MARCO	green
GNAO1	GNAO1	green
MYOM2	MYOM2	green
CYP39A1	CYP39A1	green
RNF125	RNF125	green
SLC19A3	SLC19A3	green
NOCT	NOCT	green
DTX1	DTX1	green
MFSD2A	MFSD2A	green
SERPINF2	SERPINF2	green
CDA	CDA	green
COMT	COMT	green
SULT1A1	SULT1A1	green
TMEM27	TMEM27	green
PAMR1	PAMR1	green
SLC38A2	SLC38A2	green
SULF2	SULF2	green
ASGR2	ASGR2	green
CAMK2B	CAMK2B	green
STAB2	STAB2	green
GAS6	GAS6	green
SPRY2	SPRY2	green
ACSL1	ACSL1	green
PLAC8	PLAC8	green
PDZK1	PDZK1	green
SULT1A2	SULT1A2	green
F7	F7	green
KCNN2	KCNN2	green
SSR2	SSR2	green
ERRFI1	ERRFI1	green
IGFBP4	IGFBP4	green
TRIB1	TRIB1	green
AKR1C3	AKR1C3	green
ID2	ID2	green
CISH	CISH	green
MAP2K3	MAP2K3	green
GPR162	GPR162	green
ADCYAP1R1	ADCYAP1R1	green
ARHGAP10	ARHGAP10	green
SOX6	SOX6	green
CNDP1	CNDP1	green
OIT3	OIT3	green
GPAA1	GPAA1	green
IL6	IL6	green
C1RL	C1RL	green
MASP1	MASP1	green
STAB1	STAB1	green
CD1D	CD1D	green
GSTA4	GSTA4	green
SLC39A14	SLC39A14	green
PLVAP	PLVAP	green
PPP1R16A	PPP1R16A	green
ANGPTL6	ANGPTL6	green
AVPI1	AVPI1	green
SLC50A1	SLC50A1	green
EFNA1	EFNA1	green
BOP1	BOP1	green
C2CD4B	C2CD4B	green
FBXL18	FBXL18	green
MPC1	MPC1	green
LAGE3	LAGE3	green
RFX5	RFX5	green
ILF2	ILF2	green
MAMDC4	MAMDC4	green
ADRA1A	ADRA1A	green
FAM189B	FAM189B	green
TMIGD3	TMIGD3	green
COLEC10	COLEC10	green
SCNN1A	SCNN1A	green
FAM83H	FAM83H	green
FEZ1	FEZ1	green
SPTBN5	SPTBN5	green
CBX3	CBX3	green
CCDC25	CCDC25	green
LILRA5	LILRA5	green
LILRB5	LILRB5	green
P3H2	P3H2	green
C8orf33	C8orf33	green
MAN1C1	MAN1C1	green
ITLN1	ITLN1	green
CCT3	CCT3	green
ATP1B1	ATP1B1	green
ADAR	ADAR	green
FAM149A	FAM149A	green
TGIF1	TGIF1	green
GOT2	GOT2	green
RAB11FIP4	RAB11FIP4	green
KLHL12	KLHL12	green
GLMP	GLMP	green
LRCOL1	LRCOL1	green
CLUH	CLUH	green
GBA	GBA	green
SAMD5	SAMD5	green
SHC1	SHC1	green
TP53BP2	TP53BP2	green
HPS5	HPS5	green
NSUN6	NSUN6	green
DGAT2	DGAT2	green
NEU1	NEU1	green
MRPS21	MRPS21	green
NAXE	NAXE	green
PSMD4	PSMD4	green
FABP1	FABP1	green
HSP90AB1	HSP90AB1	green
ACADVL	ACADVL	green
CYGB	CYGB	green
RSPO3	RSPO3	green
HIST2H4A	HIST2H4A	green
CD4	CD4	green
IRAK1	IRAK1	green
TUFT1	TUFT1	green
GRINA	GRINA	green
