"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"FCN2",-2.64412527607206,7.66593338916291,-24.7424510935782,7.00101106818779e-58,1.00275481529654e-53,121.006501420052,"Down"
"CLEC4G",-2.96349531805415,7.98289395438935,-23.6981985641188,1.9637197836661e-55,1.40631792307248e-51,115.46178110311,"Down"
"ECM1",-2.75000667073385,8.30921405532554,-23.3838585782066,1.10034367718086e-54,5.25340749608713e-51,113.765159262221,"Down"
"CLEC1B",-3.24370259862771,7.75029456610532,-22.090323988257,1.50764134339632e-51,5.39848674036637e-48,106.648295275255,"Down"
"CFP",-1.14319174056109,7.48053316058144,-21.33752026255,1.11175576327617e-49,3.18473555948092e-46,102.406260373717,"Down"
"DBH",-2.18810246045057,7.85199753603526,-20.7175166715687,4.05014131194684e-48,9.66836233516909e-45,98.8574497083323,"Down"
"MARCO",-1.97186379754229,7.70005875311873,-20.6511102941241,5.9696624409778e-48,1.22147821631607e-44,98.4744163155303,"Down"
"STAB2",-1.92366079428894,7.50052292875133,-20.4423720837608,2.02810481766359e-47,3.63106816292446e-44,97.2667342427738,"Down"
"RSPO3",-1.31590978226703,7.25299011602351,-19.7634635617074,1.1239626745207e-45,1.78872415412889e-42,93.3005431153755,"Down"
"CRHBP",-2.22534023513124,7.97457500256858,-19.1775048829631,3.76080754852612e-44,5.38660465175395e-41,89.830982039759,"Down"
"PAMR1",-1.91987169052282,7.7785671914231,-19.0966018955952,6.1259773805299e-44,7.97657945648453e-41,89.3486215844225,"Down"
"OIT3",-1.54386381163175,7.43907358934668,-19.0807249647571,6.74215117280049e-44,8.04731927066846e-41,89.2538664122446,"Down"
"KDM8",-2.06471400698127,8.1262363283904,-18.9156391073209,1.82959636023121e-43,2.01579297443013e-40,88.2668047918993,"Down"
"VIPR1",-2.08573248072356,8.27199254922143,-18.8907968885028,2.12675661600502e-43,2.17582392935999e-40,88.1179859760429,"Down"
"TTC36",-1.92168696428033,7.75989880804712,-18.7674736817072,4.49426623620122e-43,4.29142502007401e-40,87.3781124915934,"Down"
"CETP",-2.41451682849059,8.89160865725071,-18.6430951602904,9.57546627089171e-43,8.57183771237387e-40,86.6300651417782,"Down"
"PTH1R",-2.32954391877848,8.0118097093021,-18.6112452000992,1.16253325279978e-42,9.30375165784466e-40,86.4382145568001,"Down"
