"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"HAMP",-5.00466131681334,11.106314173954,-14.6258610810781,9.14942237129235e-32,2.08011391466699e-29,61.5966812661112,"Down"
"CYP1A2",-4.75493362009219,10.2304438655904,-13.1341903680395,1.47067057094055e-27,1.49393011259444e-25,51.9993019235406,"Down"
"FCN3",-4.64250802622986,10.1483745829621,-18.4673922692292,2.79601314243112e-42,2.10775243363373e-39,85.5702114764813,"Down"
"MT1H",-4.2102290171704,10.464111430184,-12.9986252602329,3.55693699436288e-27,3.28683926259739e-25,51.1241249833768,"Down"
"MT1G",-4.04121777976315,12.0269564757232,-12.183038269026,7.21778044876366e-25,4.16350589041584e-23,45.860012820272,"Down"
"MT1F",-3.74017148664907,10.9918008405383,-13.4804159468418,1.5433265615041e-28,1.87331070681552e-26,54.2332934588441,"Down"
"CYP3A4",-3.69003116209629,10.9569133125318,-10.3111147884724,1.27713157912783e-19,2.72613347359879e-18,33.8955356626279,"Down"
"GPC3",3.53202764466267,9.87645012967972,10.9601304275972,1.99629515630498e-21,5.9076313065612e-20,38.0110976466032,"Up"
"THRSP",-3.48956744891433,9.66764513976637,-12.8240998025818,1.10904653864168e-26,9.23539161218883e-25,49.9972742457451,"Down"
"DCN",-3.45060689523417,10.2651938753316,-12.2567326596655,4.46762842118617e-25,2.69999332812867e-23,46.3352516670282,"Down"
"HSD17B13",-3.36856182261322,9.32638604266704,-13.3904771426738,2.77134262516724e-28,3.20112422744116e-26,53.6531857734605,"Down"
"C9",-3.27950508491884,10.6559597504927,-10.7824111133009,6.26126735859115e-21,1.70819299765907e-19,36.8795513978622,"Down"
"MT1E",-3.25852386470352,12.3141277442956,-11.1347547317388,6.47522102726507e-22,2.08414810727006e-20,39.1257886781211,"Down"
"CLEC1B",-3.24370259862771,7.75029456610532,-22.090323988257,1.50764134339632e-51,5.39848674036637e-48,106.648295275255,"Down"
"MT1M",-3.20878037255516,9.23550401527135,-10.5780627688434,2.32169897595711e-20,5.64578852846072e-19,35.5825130859682,"Down"
"APOF",-3.20678908872942,10.4501364030726,-13.911363593621,9.36802146457372e-30,1.50761990378752e-27,57.0098267562381,"Down"
"MT1X",-3.12603789680586,12.3047344268584,-11.1490206631397,5.9055540193556e-22,1.90937359411355e-20,39.2169685159486,"Down"
"AKR1B10",3.0648828793172,10.4606054166599,8.14284299795641,8.36146531903374e-14,6.28008745487783e-13,20.669555207855,"Up"
"SLC25A47",-2.99067831859995,9.16866394214165,-15.8889363939837,2.7598605490901e-35,1.12941378984622e-32,69.6278281385031,"Down"
"CLEC4G",-2.96349531805415,7.98289395438935,-23.6981985641188,1.9637197836661e-55,1.40631792307248e-51,115.46178110311,"Down"
"NAT2",-2.94050777735634,8.90802146332694,-16.1032294583417,7.06148792075923e-36,3.37138971630115e-33,70.977972697513,"Down"
"HGFAC",-2.88762886238664,10.1033193140312,-10.3445185398962,1.03226117324034e-19,2.24350030725409e-18,34.1061353294221,"Down"
"SPINK1",2.88756199477831,10.8082591445313,6.69355888464422,3.1219598429283e-10,1.39085010358513e-09,12.5874689114652,"Up"
"IGFALS",-2.85040232740606,8.8849413429392,-16.649666794114,2.22531590117737e-37,1.32804998552348e-34,74.4018685831064,"Down"
"ADH4",-2.81053412774805,12.6100374054754,-8.97335083719863,5.56946615181615e-16,6.00688732623966e-15,25.6123177694199,"Down"
"SLC22A1",-2.75777699667679,10.17468656183,-10.4534370597246,5.15153519969907e-20,1.17868112883849e-18,34.7938361382233,"Down"
"ECM1",-2.75000667073385,8.30921405532554,-23.3838585782066,1.10034367718086e-54,5.25340749608713e-51,113.765159262221,"Down"
"CYP2A6",-2.69017509168583,9.91347984195781,-8.14797479006315,8.11115873668557e-14,6.1048936723882e-13,20.6994983394901,"Down"
"NNMT",-2.65358793537898,11.1093140590944,-9.55452168900449,1.51869266519234e-17,2.16655727525398e-16,29.1703980576597,"Down"
"FCN2",-2.64412527607206,7.66593338916291,-24.7424510935782,7.00101106818779e-58,1.00275481529654e-53,121.006501420052,"Down"
"FOSB",-2.62009511380645,9.4130740615155,-11.9387102877429,3.5368229449212e-24,1.80277277722798e-22,44.2855948106351,"Down"
"GCGR",-2.59030969947657,10.444650249401,-8.39735088497138,1.83527138627408e-14,1.53364014385085e-13,22.1640874043539,"Down"
"C7",-2.57999996882481,8.90689954615117,-10.0433203700983,6.99906840484333e-19,1.24531250636734e-17,32.2127826758201,"Down"
"ADH1B",-2.57780146806805,10.9436965663826,-11.389237717804,1.24982258132255e-22,4.67425783014921e-21,40.7546639380665,"Down"
"TOP2A",2.57772383791807,9.08932885743598,14.3484298699518,5.50391599885482e-31,1.03727090594207e-28,59.8186277656188,"Up"
"NPW",-2.57355132320029,9.86410106942599,-9.64507652298467,8.61356930138741e-18,1.26276512900483e-16,29.7309027468541,"Down"
"CYP2A7",-2.56509376086153,8.99913986058746,-10.1963911653407,2.650083974356e-19,5.19249695823542e-18,33.1733918116891,"Down"
"ACSL4",2.52948060434073,10.2717871573693,10.0698884823076,5.91474497754791e-19,1.07372487089251e-17,32.3792647444037,"Up"
"MT2A",-2.51280391582172,12.9862298663349,-11.1991618230917,4.27206754949894e-22,1.42299589561566e-20,39.5375732996194,"Down"
"AKR1B15",2.5123321001809,9.06113698815726,7.8560233759491,4.51326666559991e-13,3.06077265394827e-12,19.0092827247614,"Up"
