"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072562","blood microparticle","51/1519","144/19886",0.354166666666667,4.63657559798113,12.5950780780405,1.37094789504783e-21,1.0432913481314e-18,1.0432913481314e-18,"CP/CLIC1/FCN3/YWHAZ/HSPA1B/SERPING1/CFHR3/FGG/SERPINA3/HPX/SDCBP/LGALS3BP/HSPA1A/C9/BCHE/APCS/C1R/F2/HBB/FGA/APOA4/SERPINF2/HRG/C8G/AHSG/C4BPA/GSN/ITIH1/CFH/ACTG2/KNG1/FCN2/CPN2/AFM/TFRC/ITIH2/ACSM1/SLC2A1/HBA2/C8A/PON1/STOM/ORM2/SERPINC1/AMBP/FGB/PLG/PROS1/A2M/HPR/HBA1",51
"GO:0045177","apical part of cell","89/1519","469/19886",0.189765458422175,2.48431593560459,9.35501046593995,7.04375588052158e-16,2.68014911253846e-13,2.68014911253846e-13,"SLC2A2/DSG2/ABCB11/ABCC2/CDHR2/ADGRG2/MPDZ/KCNK1/CYP4F2/ERBB2/ATP6V1C1/GNAS/SPTBN5/SLC17A4/SLC26A6/SLC29A4/SLC22A12/SLC17A3/ABCG8/SLC39A14/HPN/ANO1/STK39/SCNN1A/USH2A/SLC22A1/HSP90AA1/TUBG1/CD300LG/NAALADL1/SLC26A3/PODXL/CYP4A11/CD34/SLC47A1/CA12/ACE2/IGFBP2/SLC7A5/ABCC4/CA2/CYP4F12/FABP1/PLD1/AQP8/CA4/SLC17A1/LDLR/SLC16A2/ENPEP/MYO1B/MUC13/THY1/STC1/SLC38A1/SLC20A2/SLC2A1/KCNMA1/ABCB4/SLC2A5/ERBB3/ASPM/GJA1/PTH1R/BST2/CDHR5/ITPR3/RAB27B/KCNB1/SLC7A1/SLC22A11/ADRB2/SLCO2B1/MTDH/CEACAM6/EPB41L4B/CEACAM1/SHROOM3/SLC22A7/EZR/SORBS2/NPC1L1/SLC2A9/SLC17A2/SLC38A3/SLC1A1/RAB17/MAL2/FXYD1",89
"GO:0016324","apical plasma membrane","80/1519","403/19886",0.198511166253102,2.59881043588491,9.32489936917441,1.5809477352528e-15,4.01033742175793e-13,4.01033742175793e-13,"SLC2A2/DSG2/ABCB11/ABCC2/CDHR2/ADGRG2/MPDZ/KCNK1/CYP4F2/ERBB2/GNAS/SLC17A4/SLC26A6/SLC29A4/SLC22A12/SLC17A3/ABCG8/SLC39A14/HPN/ANO1/STK39/SCNN1A/USH2A/SLC22A1/HSP90AA1/CD300LG/NAALADL1/SLC26A3/PODXL/CYP4A11/CD34/SLC47A1/CA12/ACE2/IGFBP2/SLC7A5/ABCC4/CYP4F12/PLD1/AQP8/CA4/SLC17A1/SLC16A2/ENPEP/MUC13/THY1/STC1/SLC38A1/SLC20A2/SLC2A1/KCNMA1/ABCB4/SLC2A5/ERBB3/ASPM/GJA1/PTH1R/BST2/CDHR5/RAB27B/KCNB1/SLC7A1/SLC22A11/ADRB2/SLCO2B1/MTDH/CEACAM6/CEACAM1/SHROOM3/SLC22A7/EZR/SORBS2/NPC1L1/SLC2A9/SLC17A2/SLC38A3/SLC1A1/RAB17/MAL2/FXYD1",80
"GO:0062023","collagen-containing extracellular matrix","81/1519","429/19886",0.188811188811189,2.47182310776781,8.86275809000941,1.95467380893898e-14,3.7187669215064e-12,3.7187669215064e-12,"SERPINE1/F7/SERPINH1/GPC3/PKM/PRG4/LAMB2/DPT/THBS4/FCN3/SMOC1/CTSF/TGM2/SERPING1/ANG/F12/FGG/SPP2/SRPX/SERPINA3/HPX/MARCO/LGALS3BP/USH2A/SEMA3B/HSP90AA1/APCS/PCSK6/F2/SERPINA5/ANGPT2/GPC6/FGA/ECM2/APOA4/COL15A1/LOX/SERPINF2/HRG/ANGPTL6/CTHRC1/AHSG/COL22A1/ITIH1/MST1/CXCL12/MDK/KNG1/F9/P3H2/ECM1/FCN2/LAMC1/ZG16/ITIH2/PCOLCE/COL4A1/LAMA3/GPC5/SERPINF1/LAMB1/ANGPTL3/NAV2/COL2A1/NTN4/COLEC12/AZGP1/ORM2/RARRES2/COL18A1/S100A10/SERPINC1/MMP9/FRAS1/INHBE/CLEC3B/AMBP/FGB/PLG/A2M/COCH",81
"GO:0005788","endoplasmic reticulum lumen","63/1519","313/19886",0.201277955271566,2.63503187526685,8.38479146792312,8.75101182042194e-13,1.33190399906822e-10,1.33190399906822e-10,"F7/CP/SERPINH1/GPC3/QSOX1/SPP1/LAMB2/IGFBP3/SERPING1/FGG/SPP2/DNAJB11/LIPC/IGFBP1/TSPAN5/CES2/BCHE/APOA5/RDH5/F2/EVA1A/FGA/PTGS2/APOA4/COL15A1/MTTP/ARSD/AHSG/ACE2/HSPA5/MANF/COL22A1/GAS6/KNG1/F9/P3H2/SERPIND1/LAMC1/PCSK9/IGFBP4/ITIH2/GOLM1/COL4A1/PROC/PDGFA/LAMB1/GPX7/COL2A1/AFP/CD4/RCN1/SLC27A2/P4HA2/RCN2/PROZ/STC2/COL18A1/HYOU1/CKAP4/SERPINC1/FMO1/F10/SERPINA10",63
"GO:0016323","basolateral plasma membrane","52/1519","249/19886",0.208835341365462,2.73396945253033,7.91819362253946,2.04885945976365e-11,2.59863674813357e-09,2.59863674813357e-09,"ABCC6/SLC4A4/SLC43A3/HPGD/ALPK2/MAP7/LEPR/ATP2B4/ERBB2/SLC26A6/SLC29A4/SLC51B/SLC39A14/CD81/STK39/EGFR/ABCA8/PLPP3/SLC22A1/HSP90AA1/CD300LG/AQP9/MTTP/SLC47A1/CA12/CD1D/SCRIB/SLC7A5/ABCC4/SLC6A12/SLC10A1/AQP8/LDLR/TFRC/SLC38A1/SLC2A1/SLCO1B1/AURKA/ERBB3/PTH1R/SLC7A1/SLCO2B1/SLC16A10/RHBG/ABCC3/SLC22A7/NEDD9/EZR/SLC2A9/SLC38A3/RAB17/SLCO1B3",52
"GO:0009925","basal plasma membrane","56/1519","282/19886",0.198581560283688,2.59973199986927,7.78075984709684,2.83256472010876e-11,3.0794025028611e-09,3.0794025028611e-09,"ABCC6/SLC4A4/SLC43A3/HPGD/ALPK2/MAP7/LEPR/ATP2B4/ERBB2/SLC26A6/SLC29A4/SLC51B/SLC39A14/CD81/STK39/EGFR/ABCA8/PLPP3/SLC22A1/HSP90AA1/CD300LG/AQP9/SLC27A5/CD34/MTTP/SLC47A1/CA12/CD1D/SCRIB/SLC7A5/ABCC4/SLC6A12/SLC10A1/AQP8/LDLR/TFRC/SLC38A1/SLC2A1/SLCO1B1/AURKA/ERBB3/PTH1R/SLC7A1/SLC22A11/SLCO2B1/SLC16A10/RHBG/CEACAM1/ABCC3/SLC22A7/NEDD9/EZR/SLC2A9/SLC38A3/RAB17/SLCO1B3",56
"GO:0045178","basal part of cell","57/1519","301/19886",0.18936877076412,2.47912269612593,7.43615155576555,1.32525418756645e-10,1.26064804592259e-08,1.26064804592259e-08,"ABCC6/SLC4A4/SLC43A3/HPGD/ALPK2/MAP7/LEPR/ATP2B4/ERBB2/SLC26A6/SLC29A4/SLC51B/PRCP/SLC39A14/CD81/STK39/EGFR/ABCA8/PLPP3/SLC22A1/HSP90AA1/CD300LG/AQP9/SLC27A5/CD34/MTTP/SLC47A1/CA12/CD1D/SCRIB/SLC7A5/ABCC4/SLC6A12/SLC10A1/AQP8/LDLR/TFRC/SLC38A1/SLC2A1/SLCO1B1/AURKA/ERBB3/PTH1R/SLC7A1/SLC22A11/SLCO2B1/SLC16A10/RHBG/CEACAM1/ABCC3/SLC22A7/NEDD9/EZR/SLC2A9/SLC38A3/RAB17/SLCO1B3",57
"GO:0005759","mitochondrial matrix","78/1519","487/19886",0.160164271047228,2.09679176698168,7.04728057430961,2.99018351170647e-10,2.52836628045403e-08,2.52836628045403e-08,"OGDHL/ARL2/GLYAT/GPT2/DBT/PMPCA/ACAT1/BDH1/ETFDH/ACSM3/PYCR1/ALDH6A1/AADAT/HAGH/ALDH4A1/PCK2/ACAA2/ALDH1B1/ACADS/DMGDH/FH/AKR1B15/GLDC/ABAT/AASS/HMGCS2/PRODH/CPS1/MRPL13/ECHS1/ACSM5/CBR4/SOD2/ACADSB/MRPS21/HSD17B8/ALDH7A1/DHTKD1/AGXT2/MTHFS/NADK2/ETNPPL/GLS2/ALDH5A1/ALDH2/RIDA/PC/ACSM1/GLS/OTC/GOT2/CYP11A1/HADH/PCCA/TYMS/GCDH/BCAT2/FAHD1/ADHFE1/ACADL/IVD/GSTZ1/CA5A/ACOT13/CYP27A1/PYROXD2/IDH2/LACTB2/ACSM2B/AK4/GLUD1/ALAS1/PDK4/HMGCL/AK3/HOGA1/CDK1/OAT",78
"GO:0005777","peroxisome","35/1519","143/19886",0.244755244755245,3.20421513969901,7.60743059065612,4.58916281419077e-10,3.17486627418107e-08,3.17486627418107e-08,"HAO1/ACOX2/DAO/ALDH3A2/DHRS4L2/NUDT7/TKT/HMGCR/ACSL4/BAAT/EHHADH/AGXT/ECH1/MFF/PIPOX/DECR2/FABP1/CAT/DHRS4/RIDA/ACAA1/GRHPR/IDI1/XDH/PECR/EPHX2/FNDC5/ACSL1/SLC27A2/IDH2/HAO2/HMGCL/SCP2/ACAD11/PEX11G",35
