"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","54/1487","135/18496",0.4,4.97538668459987,13.7069667473352,1.00489270219467e-24,1.26214523395651e-21,1.26214523395651e-21,"HAO1/HPGD/ME1/ALDH3A2/DHRS4L2/HSD17B6/SRD5A2/BDH1/HMGCR/DCXR/CYP4F2/ADH1B/AKR1D1/DHRS7/EHHADH/HSD17B13/UGDH/ADH4/AKR1B15/CBR1/ALDH3A1/RDH5/CBR4/G6PD/ADH1C/ABCC4/HSD17B8/AKR1C3/HSD17B2/DHRS1/GPD1/DHRS4/CYP4F3/ADH6/GRHPR/CRYL1/HADH/AKR1C4/HSD17B14/ADHFE1/GPD1L/LDHD/CHDH/HSD3B7/CYP27A1/ADH1A/PHGDH/IDH2/RDH16/HSD11B1/HAO2/AKR1B10/AKR7A3/CYP4A22",54
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","48/1487","125/18496",0.384,4.77637121721587,12.525831012811,3.19066845145542e-21,2.003739787514e-18,2.003739787514e-18,"HPGD/ME1/DHRS4L2/HSD17B6/SRD5A2/BDH1/HMGCR/DCXR/ADH1B/AKR1D1/DHRS7/EHHADH/HSD17B13/UGDH/ADH4/AKR1B15/CBR1/ALDH3A1/RDH5/CBR4/G6PD/ADH1C/ABCC4/HSD17B8/AKR1C3/HSD17B2/DHRS1/GPD1/DHRS4/ADH6/GRHPR/CRYL1/HADH/AKR1C4/HSD17B14/ADHFE1/GPD1L/LDHD/HSD3B7/CYP27A1/ADH1A/PHGDH/IDH2/RDH16/HSD11B1/AKR1B10/AKR7A3/CYP4A22",48
"GO:0004497","monooxygenase activity","41/1487","104/18496",0.394230769230769,4.90362629972583,11.8035783549307,8.05451952676161e-19,3.37215884187086e-16,3.37215884187086e-16,"AGMO/FMO3/FAXDC2/CYP4F2/CYP2E1/CYP2D6/AKR1D1/CYP2C18/CYP1A1/DBH/KMO/CYP2A7/CYP4V2/CYP4A11/CYP8B1/CYP2D7/CYP4F12/CYP7A1/AKR1C3/CYP4F11/PAH/CYP4F3/CYP1A2/CYP11A1/AKR1C4/CYP39A1/FMO4/CYP3A4/CYP2C9/CYP17A1/SQLE/CYP27A1/CYP2B6/CYP2J2/CYP26A1/CH25H/CYP4X1/FMO1/CYP4A22/CYP2A6/CYP2C8",41
"GO:0019842","vitamin binding","47/1487","150/18496",0.313333333333333,3.8973862362699,10.5347586196287,1.10146632949764e-16,3.45860427462259e-14,3.45860427462259e-14,"GNMT/OGDHL/CBS/GPT2/ACACB/SDSL/FTCD/CSAD/TKT/AADAT/GCAT/KYNU/DDC/RBP4/AGXT/DBH/ADH4/SDS/RBP5/GLDC/ABAT/C8G/SEC14L2/DHTKD1/AGXT2/P3H2/MTHFS/ETNPPL/AFM/PC/GOT2/RBP1/SHMT1/PCCA/TYMS/PDXK/GOT1/P4HA2/CTH/PLOD2/TAT/P4HTM/ALAS1/PSAT1/NPC1L1/GPT/OAT",47
"GO:0005506","iron ion binding","47/1487","153/18496",0.30718954248366,3.82096689830382,10.359809845353,2.63185559484105e-16,6.61122125424072e-14,6.61122125424072e-14,"AGMO/FAXDC2/SC5D/CYP4F2/CYP2E1/CYP2D6/CDO1/CYP2C18/CYP1A1/CYGB/LCN2/CYP2A7/CYP4V2/CYP4A11/CYP8B1/CYP2D7/CYP4F12/CYP7A1/BBOX1/CYP4F11/P3H2/PAH/CYP4F3/CYP1A2/CYP11A1/AOX1/HBA2/CYP39A1/XDH/CYP3A4/CYP2C9/CYP17A1/P4HA2/CYP27A1/CYP2B6/CYP2J2/ADI1/CYP26A1/PLOD2/FTH1/CH25H/P4HTM/CYP4X1/CYP4A22/CYP2A6/CYP2C8/HBA1",47
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","50/1487","179/18496",0.279329608938547,3.47443204231834,9.83599128263286,2.19086605435985e-15,4.58621294045996e-13,4.58621294045996e-13,"AGMO/FMO3/FAXDC2/SC5D/CYP4F2/CYP2E1/CYP2D6/AKR1D1/CYP2C18/CYP1A1/DBH/KMO/CYP2A7/PTGS2/CYP4V2/CYP4A11/CYP8B1/CYP2D7/CYP4F12/CYP7A1/BBOX1/AKR1C3/CYP4F11/P3H2/PAH/CYP4F3/CYP1A2/KDM8/CYP11A1/AKR1C4/CYP39A1/FMO4/CYP3A4/CYP2C9/CYP17A1/FADS1/SQLE/P4HA2/CYP27A1/CYP2B6/CYP2J2/CYP26A1/PLOD2/CH25H/P4HTM/CYP4X1/FMO1/CYP4A22/CYP2A6/CYP2C8",50
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","23/1487","43/18496",0.534883720930233,6.65313335731377,10.973198337226,1.11980959851385e-14,2.00925836533343e-12,2.00925836533343e-12,"CYP4F2/CYP2E1/CYP2D6/CYP2C18/CYP1A1/CYP2A7/CYP4V2/CYP4A11/CYP8B1/CYP2D7/CYP4F12/CYP7A1/CYP4F11/CYP4F3/CYP1A2/CYP39A1/CYP3A4/CYP2C9/CYP2B6/CYP2J2/CYP4A22/CYP2A6/CYP2C8",23
"GO:0020037","heme binding","40/1487","141/18496",0.283687943262411,3.52864303872331,8.91175316389995,7.95185542122928e-13,1.248441301133e-10,1.248441301133e-10,"STEAP3/CBS/CYP4F2/CYP2E1/CYP2D6/CYP2C18/CYP1A1/CYGB/CYP2A7/HBB/PTGS2/CYP4V2/HRG/CYP4A11/CYP8B1/CYP2D7/CYP4F12/CYP7A1/CAT/CYP4F11/CYP4F3/CYP1A2/CYP11A1/HBA2/CYP39A1/CYP3A4/CYP2C9/CYP17A1/CYP27A1/CYP2B6/CYP2J2/CYP26A1/TDO2/STC2/CYP4X1/CYP4A22/CYP2A6/AMBP/CYP2C8/HBA1",40
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","20/1487","38/18496",0.526315789473684,6.54656142710509,10.1196750233149,9.23698732387758e-13,1.28907289764336e-10,1.28907289764336e-10,"FMO3/CYP4F2/CYP2E1/CYP2D6/AKR1D1/CYP1A1/KMO/CYP7A1/AKR1C3/CYP4F11/AKR1C4/FMO4/CYP3A4/CYP2C9/SQLE/CYP27A1/CYP2B6/CYP26A1/CYP4X1/FMO1",20
"GO:0030170","pyridoxal phosphate binding","24/1487","56/18496",0.428571428571429,5.33077144778557,9.59670359920865,1.55815583827114e-12,1.95704373286855e-10,1.95704373286855e-10,"CBS/GPT2/SDSL/CSAD/AADAT/GCAT/KYNU/DDC/AGXT/SDS/GLDC/ABAT/AGXT2/ETNPPL/GOT2/SHMT1/PDXK/GOT1/CTH/TAT/ALAS1/PSAT1/GPT/OAT",24
