MODULE	GENE
black	GAGE2B
black	GAGE6
black	GAGE4
black	GAGE12G
black	GAGE5
black	GAGE12C
black	GAGE12I
black	GSTM2
black	GSTM1
black	PGC
black	VCX3A
black	VCX3B
black	S100P
black	VCX
black	GAGE12H
black	GAGE12B
black	GAGE12J
black	NOTUM
black	GAGE2E
black	CT45A3
black	GAGE12F
black	DLK1
black	MMP12
black	DKK4
black	AXIN2
black	GAGE2A
black	DKK1
black	MAGEC2
black	ANGPT2
black	SELM
black	SNAR-A1
black	NKD1
black	PFKFB4
black	GAGE8
black	LIN28B
black	CLDN18
black	CT47A7
black	TFF2
black	TSPY2
black	GAGE7
black	GAGE12E
black	LOC105379362
black	CHGB
black	TSPY8
black	MAGEA10
black	PNCK
black	RGS16
black	GAGE12D
black	DEFA5
black	TSPY4
black	CT45A1
black	MT3
black	SPANXN3
black	SLC30A3
