MODULE	GENE
blue	AFP
blue	MUC13
blue	SAA2
blue	MEG3
blue	NPW
blue	PEG3
blue	WNK4
blue	CES1P1
blue	CES1
blue	LGALS4
blue	NFKBIZ
blue	MSMO1
blue	UGT2B15
blue	UGT1A4
blue	GPAT3
blue	TPM2
blue	PSMB9
blue	SNORA22
blue	UGT2B4
blue	SNORD3D
blue	A2M
blue	SNORD3A
blue	DUSP6
blue	CD93
blue	IDO2
blue	FAM13A
blue	PGGHG
blue	TMPRSS3
blue	UGT1A10
blue	SLC26A3
blue	MYOM1
blue	NPIPB3
blue	UGT1A1
blue	AMACR
blue	MLXIPL
blue	ACSM2B
blue	CALD1
blue	C3
blue	LRCH4
blue	EXOC3L4
blue	SLC7A10
blue	UGT2B11
blue	VIM
blue	DLC1
blue	GNB5
blue	VNN3
blue	CD34
blue	SNHG5
blue	RTN4
blue	TP53I3
blue	EPDR1
blue	USMG5
blue	KLF4
blue	GSDMB
blue	SEZ6
blue	HINT3
blue	LEP
blue	PLIN5
blue	RNU4-2
blue	PDXDC2P
blue	CAV2
blue	SORD
blue	ZCCHC6
blue	UGT1A9
blue	FMO5
blue	ARHGAP44
blue	MGST1
blue	COL2A1
blue	CFHR1
blue	SRXN1
blue	CFHR2
blue	D2HGDH
blue	FGFR3
blue	CD83
blue	TENM1
blue	ADAP1
blue	PLA2G2D
blue	RAD51
blue	PHYH
blue	UGGT1
blue	ATXN3
blue	F13B
blue	TMEM156
blue	SPTBN1
blue	RNU4-1
blue	CPB2
blue	SPN
blue	RGCC
blue	ING1
blue	C4BPB
blue	MRAP2
blue	ZNF223
blue	LONP2
blue	ECI2
blue	CTSD
blue	SLC17A9
blue	ACAT2
blue	MOCS2
blue	IL17RD
blue	BAAT
blue	GPR1
blue	DTNA
blue	CALML4
blue	TNFSF14
blue	RNA5S9
blue	ANKRD29
blue	HSD17B11
blue	CYP21A2
blue	ADCY1
blue	RNY4
blue	PRMT1
blue	USP49
blue	IL4R
blue	AMY2A
blue	ZNF786
blue	SOWAHA
blue	NLRP8
blue	SMPDL3A
blue	LOC107133515
blue	PXMP2
blue	TMEM64
blue	PDE9A
blue	TMEM106A
blue	N4BP2
blue	CD9
blue	ETFB
blue	SNX7
blue	AADAC
blue	PALLD
blue	ZDHHC11
blue	NAMPT
blue	OVGP1
blue	CYB5A
blue	CCBE1
blue	TMEM106B
blue	STEAP1
blue	SPTSSA
blue	UGT1A7
blue	SUSD3
blue	SALL4
blue	ACCS
blue	ZDHHC8
blue	SSTR2
blue	LOC100134868
blue	RALGPS2
blue	SLC22A18AS
blue	CH25H
blue	MRPL24
blue	C21orf58
blue	ALDH1A1
blue	SIVA1
blue	HTATIP2
blue	VPS41
blue	SMIM14
blue	C15orf52
blue	STRIP2
blue	DPP7
blue	EBP
blue	ZNF738
blue	PDLIM3
blue	SNORA14A
blue	RAX2
blue	LMOD3
blue	NUBPL
blue	FES
blue	FAM50B
blue	FAM46A
blue	PPA2
blue	PNPT1
blue	GOLGA6C
blue	MAGT1
blue	APP
blue	SNAPC1
blue	PAXIP1-AS1
blue	MIGA1
blue	SLC4A5
blue	DENR
blue	IDI1
blue	SHROOM4
blue	GOLGA6L6
blue	RALGDS
blue	DMC1
blue	XRCC2
blue	DTWD2
blue	IL1RAP
blue	NPIPB5
blue	EIF2AK4
blue	ITIH3
blue	ZNF394
blue	APOPT1
blue	ZNF682
blue	TXN
blue	SLC3A1
blue	PCDHB9
blue	TMEM91
blue	HABP4
blue	CES4A
blue	ANKRD20A1
blue	LYPLAL1
blue	MRPL20
blue	ITPRIPL2
blue	BLZF1
blue	FAM175A
blue	RRBP1
blue	MBD4
blue	ACOT1
blue	HAUS2
blue	MFSD14C
blue	RNY5
blue	C2orf69
blue	HNRNPU
blue	SLC25A51
blue	TMEM178A
blue	ZNF483
blue	TRIM47
blue	FMC1
blue	CHRNA5
blue	DDX51
blue	ALPP
blue	ENHO
blue	CD151
blue	CRCP
blue	RPA3
blue	N4BP2L2
blue	AOC4P
blue	RDH10
blue	CSF2RA
blue	GVINP1
blue	GLRX3
blue	CCDC125
blue	TIMP3
blue	CDK10
blue	MAGEA12
blue	SNORD66
blue	SNORD68
blue	TNFSF15
blue	CPQ
blue	BCYRN1
blue	SRC
blue	LOC100128288
blue	CHRD
blue	EXO5
blue	IL10
blue	F5
blue	MAP2
blue	TMEM267
blue	HACD4
blue	TBC1D32
blue	HSPE1
blue	SPTLC1
blue	ABHD3
blue	APBB3
blue	ARL16
blue	BAG4
blue	SLC5A8
blue	SLC35E1
blue	HOOK1
blue	BORCS7
blue	RNF165
blue	PON2
blue	CHPT1
blue	CNIH1
blue	TMEM191A
blue	HIF1A
blue	HYPK
blue	FKBP14
blue	SEMA3E
blue	PGM1
blue	BTNL10
blue	WSB1
blue	SLC44A3
blue	HSD17B7
blue	RPS24
blue	PLS3
blue	SAR1B
blue	UQCRB
blue	FKBP5
blue	TDP1
blue	SDHAP1
blue	STOX2
blue	LAP3
blue	TSTD1
blue	CYP2C19
blue	PRDX3
blue	HACD3
blue	ZNF69
blue	FBXL5
blue	SMCR5
blue	TCAF2
blue	RAB32
blue	RHBDL2
blue	HSPB11
blue	PPA1
blue	FAM84B
blue	TDRD1
blue	ACOT2
blue	CAPN3
blue	OAS1
blue	ZRANB1
blue	HIGD1A
blue	KLHL5
blue	OPN3
blue	OCIAD1
blue	SNORD83B
blue	PPP6R2
blue	SMYD2
blue	LGSN
blue	PDCD4
blue	SYAP1
blue	SNORD71
blue	NFIC
blue	NBPF10
blue	PCBD1
blue	FAM213A
blue	ELOVL5
blue	SNORD14C
blue	GSTO1
blue	DDX21
blue	LOC400867
blue	DOPEY2
blue	DCLRE1C
blue	ITGA5
blue	AGO2
blue	SNX29P2
blue	MCMDC2
blue	PLXNB1
blue	POFUT1
blue	BMS1P5
blue	CYTH2
blue	TMEM17
blue	LRRFIP1
blue	LIPA
blue	MYLK
blue	RN7SK
blue	FARP1
blue	INIP
blue	UGCG
blue	ZNF486
blue	PDK3
blue	SERPINB1
blue	GOLGA8B
blue	C8orf37
blue	ZNF14
blue	DUSP19
blue	SEC11C
blue	FAM63A
blue	ZNF577
blue	GSTTP2
blue	HINT1
blue	RNU11
blue	LCOR
blue	TRIM13
blue	BCAR3
blue	EVI5
blue	ANXA9
blue	RNF216
blue	NSMF
blue	RHOC
blue	SLC30A1
blue	GDPD3
blue	HSPA8
blue	LANCL1
blue	MPP6
blue	SDCBP
blue	CEP19
blue	IRF2BPL
blue	KRCC1
blue	TMEM123
blue	COMMD10
blue	SLC35G1
blue	COX7A2
blue	SH3PXD2A
blue	TNK2
blue	EID2B
blue	QRFPR
blue	TMEM37
blue	FDFT1
blue	PITPNC1
blue	SLC22A25
blue	GCSH
blue	SPG7
blue	PHKA2
blue	UBB
blue	ZNF652
blue	AIRE
blue	JMJD7-PLA2G4B
