MODULE	GENE
brown	HAMP
brown	CYP1A2
brown	SPINK1
brown	CYP3A4
brown	MT1H
brown	AKR1B10
brown	MT1G
brown	FCN3
brown	CYP2E1
brown	GPC3
brown	CRP
brown	REG3A
brown	CYP2A6
brown	C9
brown	MT1F
brown	MT1M
brown	H19
brown	MT1E
brown	ADH4
brown	LCN2
brown	THRSP
brown	GSTM2
brown	AKR1B15
brown	SDS
brown	SAA1
brown	MT1X
brown	GCGR
brown	HSD17B13
brown	HGFAC
brown	ADH1C
brown	HSD11B1
brown	DEFB1
brown	NNMT
brown	SPP1
brown	SLC22A1
brown	CYP2C8
brown	TAT
brown	AFP
brown	RNA28S5
brown	SAA2
brown	S100P
brown	SLC10A1
brown	APOF
brown	HPD
brown	NPW
brown	CYP8B1
brown	GSTA2
brown	HEPACAM
brown	RELN
brown	CYP2A7
brown	PAGE4
brown	ACSL4
brown	SPP2
brown	SLCO1B3
brown	ALDH3A1
brown	GPR88
brown	CCL20
brown	GSTM1
brown	BBOX1
brown	RDH16
brown	PGC
brown	TDO2
brown	GBA3
brown	ADH1B
brown	CD24
brown	MUC13
brown	PEG10
brown	SERPINA11
brown	BCHE
brown	MT2A
brown	FOSB
brown	MDK
brown	SLC25A47
brown	PCK1
brown	PGLYRP2
brown	MT1A
brown	F9
brown	FNDC5
brown	FOS
brown	LECT2
brown	NAT2
brown	CYP2C9
brown	ENO3
brown	CLEC1B
brown	SHBG
brown	LY6E
brown	CPS1
brown	ADIRF
brown	CHI3L1
brown	CLRN3
brown	BHMT
brown	ATF5
brown	XPNPEP2
brown	EEF1A2
brown	FAM134B
brown	WDR72
brown	AFM
brown	AOX1
brown	MBL2
brown	FAM83A-AS1
brown	IGFALS
brown	GLS2
brown	SAA4
brown	TPR
brown	APCS
brown	SLC22A7
brown	CST1
brown	APOC4
brown	GHR
brown	BEX2
brown	TOP2A
brown	CRYAA
brown	DLK1
brown	SEZ6L2
brown	SLC13A5
brown	NQO1
brown	MME
brown	PRODH
brown	HRG
brown	TSPAN8
brown	RBP1
brown	HAL
brown	DNASE1L3
brown	NPC1L1
brown	CLEC4G
brown	AQP9
brown	CFHR3
brown	IGF2
brown	FETUB
brown	GLYAT
brown	HPGD
brown	FADS1
brown	ALDH1L1
brown	FBP1
brown	COLEC11
brown	NEU4
brown	CFHR5
brown	HBA2
brown	ID1
brown	IGFBP2
brown	CYP4A11
brown	SQLE
brown	UGT2B10
brown	RNASE4
brown	MEP1A
brown	C6
brown	SERPINA7
brown	PHGDH
brown	SLC27A5
brown	CYP26A1
brown	FOXQ1
brown	UGP2
brown	DKK4
brown	CTH
brown	CYP2D6
brown	INHBE
brown	CLDN2
brown	CDC20
brown	UBE2C
brown	IRX3
brown	GNMT
brown	GADD45G
brown	IGF1
brown	LCAT
brown	REG1A
brown	PPARGC1A
brown	ECM1
brown	GSTA5
brown	CYP4F2
brown	IGFBP3
brown	ALG1L
brown	RASD1
brown	FXYD1
brown	KBTBD11
brown	G6PC
brown	C8A
brown	INS-IGF2
brown	EGR1
brown	PON1
brown	ADAMTSL2
brown	C1QTNF1
brown	CXCL12
brown	FLNC
brown	APOA5
brown	FMO3
brown	UGT2B17
brown	ZG16
brown	ANGPTL8
brown	ASPG
brown	OAT
brown	FAM3B
brown	ALPL
brown	PIGR
brown	CPED1
brown	ALPK2
brown	ALDOB
brown	ECHDC3
brown	SMIM24
brown	FAM13A
brown	AKR7A3
brown	IGFBP1
brown	FCN2
brown	LINC01018
brown	C4BPA
brown	LAPTM4B
brown	HAO2
brown	AADAT
brown	TGM3
brown	HBB
brown	ACSM5
brown	SLC7A2
brown	CNTNAP2
brown	ANXA10
brown	AKR1D1
brown	TRPM8
brown	CETP
brown	LEPR
brown	PHLDA1
brown	SOCS2
brown	CYR61
brown	HSPA1B
brown	AZGP1
brown	HSD17B2
brown	UGT2B28
brown	HKDC1
brown	LINC01451
brown	DKK1
brown	ARG1
brown	TSKU
brown	CYP2C18
brown	IER3
brown	SLC29A4
brown	STEAP3
brown	KMO
brown	FABP4
brown	NR1I3
brown	CYFIP2
brown	PROZ
brown	ERICH5
brown	OGDHL
brown	LBP
brown	CCL16
brown	CYP1A1
brown	PTH1R
brown	PPP1R1A
brown	ALDH8A1
brown	CD14
brown	HPR
brown	RTP3
brown	VNN1
brown	HSD17B6
brown	SCGN
brown	APOA4
brown	SLC22A11
brown	FGGY
brown	CAP2
brown	CSRNP1
brown	SNORD13
brown	OTC
brown	ASPDH
brown	ABCA8
brown	EFHD1
brown	MYC
brown	PITX1
brown	RDH5
brown	KLKB1
brown	SKAP1
brown	CTHRC1
brown	ODAM
brown	CYP2D7
brown	SEPT4
brown	AGXT
brown	GPT2
brown	ATOH8
brown	DNAJC12
brown	HBA1
brown	ANO1
brown	LIPC
brown	MLLT11
brown	GPT
brown	C8orf4
brown	SLC38A4
brown	UGT2B11
brown	EVC2
brown	MASP2
brown	CDHR2
brown	ZGPAT
brown	SULT2A1
brown	DIO1
brown	DNMT3L
brown	FST
brown	ACSM2B
brown	CRHBP
brown	SNORA22
brown	ASPM
brown	PRC1
brown	MAGEA1
brown	PCOLCE
brown	HABP2
brown	PDK4
brown	SERPINE1
brown	CCL25
brown	UPB1
brown	ACTG2
brown	SLC46A3
brown	CCND1
brown	RND3
brown	A2M
brown	CDO1
brown	BAIAP2L2
brown	CYP7A1
brown	FTCD
brown	OAS2
brown	CLDN15
brown	LGALS3BP
brown	PLIN2
brown	GSTZ1
brown	IFITM1
brown	CPVL
brown	PYROXD2
brown	ADGRG7
brown	DPYS
brown	ACACB
brown	TMEM45A
brown	MAT1A
brown	PRG4
brown	ADH1A
brown	GLDC
brown	DBH
brown	DCXR
brown	CYP4V2
brown	C15orf48
brown	GADD45B
brown	PTTG1
brown	CUX2
brown	BEX3
brown	ABCB4
brown	C1R
brown	GCNT3
brown	CDKN3
brown	MTMR11
brown	COCH
brown	PEMT
brown	CA5A
brown	TMPRSS6
brown	PRSS8
brown	TMEM45B
brown	KDM8
brown	NEK2
brown	SHMT1
brown	NAT8B
brown	PRODH2
brown	TKFC
brown	VIPR1
brown	CSAD
brown	PNPLA7
brown	HSD17B14
brown	SLC17A2
brown	TRNP1
brown	SRD5A2
brown	BST2
brown	VNN2
brown	CYP4F12
brown	C8B
brown	SCP2
brown	FGG
brown	C10orf10
brown	GPER1
brown	NCAPG
brown	STOM
brown	CPE
brown	ACSM3
brown	PLGLB1
brown	CA2
brown	RBP5
brown	PTGS2
brown	BAAT
brown	SLC26A3
brown	IGF2BP3
brown	CCNB2
brown	TSC22D3
brown	SLC22A10
brown	HAO1
brown	SRXN1
brown	SERPINA5
brown	TM6SF2
brown	ETNPPL
brown	CXCL14
brown	F12
brown	ASS1
brown	MTTP
brown	NOCT
brown	CCL14
brown	SLC2A2
brown	SCML1
brown	GGH
brown	ANG
brown	ZBTB16
brown	CYP39A1
brown	PLG
brown	VIL1
brown	SLC27A2
brown	KIAA0101
brown	STMN3
brown	RCL1
brown	FLRT3
brown	AKR1C4
brown	NDRG2
brown	IFIT1
brown	NUSAP1
brown	DUSP6
brown	TYMS
brown	HOGA1
brown	ACSL1
brown	ACMSD
brown	DUSP1
brown	PTTG3P
brown	ESM1
brown	HFE2
brown	MMP9
brown	TMEM107
brown	FAM171A1
brown	RUNDC3B
brown	HPX
brown	DBNDD1
brown	CFH
brown	CAMK2B
brown	KDELR3
brown	MAL2
brown	DDIT4
brown	SLC6A12
brown	ABAT
brown	MNS1
brown	LRRC1
brown	GMNN
brown	ALDH1B1
brown	ALDH6A1
brown	UGT3A1
brown	SOD2
brown	SORL1
brown	TTC36
brown	TBX15
brown	DUSP5
brown	HIST2H2AA3
brown	ERBB2
brown	OXT
brown	MARCO
brown	PAMR1
brown	MIR99AHG
brown	CD79B
brown	SEC14L2
brown	WNK4
brown	RGN
brown	AUTS2
brown	SGK1
brown	GPR37
brown	AURKA
brown	QSOX1
brown	TXNRD1
brown	CDH1
brown	OCIAD2
brown	MYH4
brown	SEMA6A
brown	SIK1
brown	CES2
brown	LPA
brown	COL22A1
brown	TMEM98
brown	PLA2G16
brown	ZIC2
brown	GNAO1
brown	ADM
brown	VEGFB
brown	G6PD
brown	GPAT3
brown	ACOT12
brown	EVA1A
brown	RND1
brown	NKD1
brown	CMBL
brown	CDCA5
brown	OASL
brown	TUBB2B
brown	SERPINF2
brown	RAMP1
brown	CDKN1A
brown	STAB2
brown	SLC19A3
brown	PANX2
brown	H2AFZ
brown	PON3
brown	AMDHD1
brown	SLC25A15
brown	TTR
brown	CABYR
brown	TMEM27
brown	NAV2
brown	RHOB
brown	IL17RB
brown	PDZK1IP1
brown	AGXT2
brown	HERC5
brown	TCEAL9
brown	LEAP2
brown	ITPKA
brown	ZFP36
brown	ZCCHC6
brown	SDSL
brown	REEP6
brown	HMMR
brown	SMYD3
brown	H2AFY2
brown	NUPR1
brown	AR
brown	MFSD2A
brown	THBS4
brown	FGA
brown	GABARAPL1
brown	SOX9
brown	HIST1H1C
brown	ARID3A
brown	MCM2
brown	CBS
brown	SLC38A1
brown	RAB3IP
brown	S100A10
brown	IGF2BP2
brown	LIPG
brown	GSN
brown	PPP1R3C
brown	IGSF1
brown	SLC1A2
brown	TMEM47
brown	HIST2H2AA4
brown	SYBU
brown	MAP1LC3A
brown	HSPA1A
brown	ADGRV1
brown	ADH6
brown	SIPA1L2
brown	CEMIP
brown	RNF125
brown	MYRIP
brown	EPHX2
brown	TESC
brown	EHHADH
brown	ANGPTL3
brown	NREP
brown	TRIM31
brown	SLC25A25
brown	PRRG2
brown	THY1
brown	SEPP1
brown	SULT1A1
brown	TXNIP
brown	HGD
brown	CSF3R
brown	PSAT1
brown	DPT
brown	IL1RN
brown	KCNN2
brown	SLC22A12
brown	NEB
brown	LRG1
brown	TM4SF5
brown	CREB3L3
brown	VWCE
brown	RRAGD
brown	FOXA3
brown	CENPW
brown	RFTN1
brown	ETNK2
brown	TCP10L
brown	CKB
brown	WLS
brown	RIDA
brown	PKLR
brown	ACSL5
brown	CPEB3
brown	AHSG
brown	G0S2
brown	PIPOX
brown	CD34
brown	MYOM2
brown	PFKFB3
brown	TM7SF2
brown	ADCYAP1R1
brown	UBE2T
brown	CPN2
brown	TKT
brown	PNMA3
brown	IYD
brown	CDH15
brown	TMEM86B
brown	BRSK2
brown	SLC38A2
brown	SULF2
brown	PAH
brown	BRSK1
brown	PBK
brown	CDA
brown	CXCL16
brown	COMT
brown	F11
brown	MMP12
brown	JUN
brown	GAS6
brown	INSIG1
brown	UPP2
brown	HIST1H2BD
brown	PANK1
brown	ASGR2
brown	TMEM154
brown	ANKRD37
brown	STK39
brown	SRPX
brown	GFRA1
brown	MTHFD1
brown	IGFBP4
brown	ST3GAL6
brown	RAD21
brown	C8G
brown	STC1
brown	TGM2
brown	PPP2R2B
brown	CKS2
brown	GADD45A
brown	XDH
brown	ELOVL6
brown	LRRC31
brown	MELK
brown	CDC45
brown	CYP4F3
brown	PAFAH1B3
brown	CA12
brown	SERPING1
brown	MLPH
brown	NR1I2
brown	RFC4
brown	CPN1
brown	NDUFA4L2
brown	SDCBP2
brown	ZNF385B
brown	NTHL1
brown	F7
brown	F2RL1
brown	FCAMR
brown	MARC1
brown	ADGRL2
brown	ETS2
brown	TCEA2
brown	PLA2G4C
brown	DGCR5
brown	MBNL3
brown	DMGDH
brown	CCZ1B
brown	NR0B2
brown	ATF3
brown	SLC38A3
brown	GCKR
brown	CIDEB
brown	C19orf66
brown	LIME1
brown	AKR1C3
brown	ANXA2P1
brown	C9orf152
brown	CNDP1
brown	LYVE1
brown	SELENBP1
brown	ECT2
brown	ACAD11
brown	SPIRE1
brown	TMEM82
brown	ANKRD35
brown	MARCKS
brown	GPAM
brown	NPL
brown	NAT8
brown	PIM1
brown	FNDC4
brown	TMPRSS2
brown	CAT
brown	FAM83D
brown	COL2A1
brown	SERTAD1
brown	MCM6
brown	GCDH
brown	MMP11
brown	RAP2A
brown	RORC
brown	TFRC
brown	GLYATL1
brown	GPX7
brown	PIR
brown	DHRS1
brown	PLAC8
brown	ITIH1
brown	GPLD1
brown	PPP2R1B
brown	PCK2
brown	SLC17A3
brown	SC5D
brown	DTX1
brown	ASNS
brown	MAPK13
brown	ABCC3
brown	KCNJ8
brown	ABCC4
brown	RCAN1
brown	CELSR3
brown	SLCO1B1
brown	COL4A1
brown	ARHGAP10
brown	SULT1A2
brown	NIPAL1
brown	SLC6A1
brown	TEX11
brown	RHBG
brown	CDK1
brown	DACT2
brown	SSR2
brown	MLLT10
brown	ACADS
brown	RAB26
brown	ITPR3
brown	ALDH2
brown	ACAA2
brown	ME1
brown	FGB
brown	ADGRG2
brown	TGFBR3
brown	CLGN
brown	RGS5
brown	ADHFE1
brown	SLC16A10
brown	ACAA1
brown	KIFC1
brown	CYP27A1
brown	SOWAHA
brown	ERRFI1
brown	GBP2
brown	CTSV
brown	RAB11FIP1
brown	HLF
brown	IGSF3
brown	MAGED1
brown	HOXA10
brown	HSP90AA1
brown	BHLHE40
brown	MCM4
brown	NDRG1
brown	CDHR5
brown	CISH
brown	ATP6V1C1
brown	NRCAM
brown	NMRAL1
brown	LHPP
brown	LINC00261
brown	HIST2H2AC
brown	PEX11G
brown	FEN1
brown	THOP1
brown	ABCA6
brown	MACROD1
brown	PRAP1
brown	LRRC26
brown	NR2F2
brown	GOT1
brown	DDC
brown	UHRF1
brown	SLC47A1
brown	SLC7A5
brown	C1orf106
brown	PFN2
brown	OIP5
brown	SOX4
brown	STAMBPL1
brown	SFN
brown	CNGA1
brown	GCAT
brown	CP
brown	TP53I3
brown	COBLL1
brown	CHST9
brown	NECAB2
brown	ANPEP
brown	SLC17A4
brown	CYP4F11
brown	TBX3
brown	ZSCAN31
brown	RACGAP1
brown	KRTCAP3
brown	MASP1
brown	HOXA5
brown	PNCK
brown	CDCA7
brown	LOC730101
brown	SERPINA10
brown	ACE2
brown	PRSS3
brown	PLA1A
brown	GSPT2
brown	IDI1
brown	FAM107A
brown	CYP2B6
brown	KHK
brown	GLDN
brown	RANBP3L
brown	ECHDC2
brown	ALDH5A1
brown	NAALADL1
brown	IFIT3
brown	SOAT2
brown	FBXO31
brown	ESR1
brown	APOM
brown	GREM2
brown	LDHD
brown	GINS2
brown	DSG2
brown	ATP6V0E2
brown	SLC2A5
brown	BOLA2
brown	PPP1R15A
brown	HMGCS2
brown	HMGCS1
brown	SLC35C1
brown	SPOCK1
brown	CCDC34
brown	TMCO3
brown	PFKFB1
brown	DAB2
brown	SOCS3
brown	HPN
brown	TRIM15
brown	IDH2
brown	RAB17
brown	FURIN
brown	ADI1
brown	UGDH
brown	FBXL18
brown	LDLR
brown	GNE
brown	ECM2
brown	ELOVL2
brown	PABPC1
brown	TRIB1
brown	PKM
brown	SLCO2B1
brown	PDX1
brown	ECHS1
brown	LAMA3
brown	CD163L1
brown	LEF1
brown	SNX7
brown	TMEM106C
brown	AVPI1
brown	SLC25A42
brown	CFI
brown	FMO1
brown	LPIN2
brown	MRAP2
brown	OIT3
brown	TTC38
brown	TMEM30B
brown	CGN
brown	LSS
brown	MCM3
brown	C3orf14
brown	ALDH4A1
brown	SH3YL1
brown	CYP2J2
brown	PC
brown	APOLD1
brown	LAMC1
brown	PRKAB2
brown	MID1IP1
brown	PCNA
brown	TEAD2
brown	ACKR2
brown	HAGH
brown	ID2
brown	GPC6
brown	MAP2K3
brown	SERPINA4
brown	CD1D
brown	GALK1
brown	SLC2A9
brown	SPTBN5
brown	STMN1
brown	RBP4
brown	KYNU
brown	ABLIM3
brown	SPRY2
brown	PODXL
brown	SHD
brown	ACOX2
brown	STARD5
brown	HRCT1
brown	BDH1
brown	GPX3
brown	CLDN3
brown	CCNE1
brown	GRHPR
brown	DFNA5
brown	TYMSOS
brown	ECH1
brown	IFIT2
brown	PLA2G1B
brown	GPC5
brown	FAXDC2
brown	FABP5
brown	MFF
brown	FITM1
brown	AGMAT
brown	CPD
brown	CSRP1
brown	RFX5
brown	ACADL
brown	CBX6
brown	BCAT2
brown	CPLX1
brown	FBXO2
brown	EPB41L4B
brown	ROBO1
brown	CYP2B7P
brown	HES6
brown	FOXO1
brown	ITM2C
brown	JUNB
brown	FCRLA
brown	KCNK1
brown	CENPM
brown	SLC43A3
brown	PROC
brown	MARCKSL1
brown	PLEKHF1
brown	MYCN
brown	SLC4A4
brown	C1RL
brown	ADRA1B
brown	MYO1B
brown	RAB3IL1
brown	BAIAP2L1
brown	FABP1
brown	SNHG6
brown	ILF2
brown	KLF9
brown	SDC4
brown	EZR
brown	ATP9A
brown	GPAA1
brown	UBE2Q2
brown	SP5
brown	PLCB1
brown	HYAL1
brown	DYNC1I1
brown	PLD1
brown	TTC39C
brown	ACAT1
brown	DUSP9
brown	RORA
brown	MSRA
brown	TLN2
brown	ARRDC4
brown	LGALS2
brown	FAHD2A
brown	MPDZ
brown	SCARA3
brown	PTPN20
brown	AZIN1
brown	LYPD1
brown	TSHZ2
brown	PARPBP
brown	FAM189B
brown	SLC2A10
brown	CDH23
brown	SPHK1
brown	CBX3
brown	IDNK
brown	CKAP2L
brown	MMD
brown	F10
brown	PGM5
brown	KLF6
brown	PCSK1N
brown	MAST4
brown	METTL7A
brown	HSPH1
brown	CEACAM1
brown	MBNL2
brown	NQO2
brown	PALM2
brown	CHST7
brown	MTMR7
brown	METTL7B
brown	TOMM40L
brown	HEY2
brown	ADRB2
brown	BLVRA
brown	TOB1
brown	ADSSL1
brown	P4HA2
brown	ANGPTL6
brown	SORBS1
brown	SNHG10
brown	ADRA1A
brown	RCN2
brown	KIAA0196
brown	TFDP1
brown	KCNU1
brown	C1orf64
brown	TK1
brown	CBR1
brown	SLC39A14
brown	KRT8
brown	AFF3
brown	MAMDC4
brown	BUB1
brown	PDXK
brown	ARMCX3
brown	DBNDD2
brown	AGTR1
brown	HIST2H2BE
brown	KCNMA1
brown	GPD1
brown	MST1
brown	PBLD
brown	CHKA
brown	EFNA1
brown	USH2A
brown	TMEM238
brown	FAH
brown	ANKRD29
brown	KRT23
brown	GLYCTK
brown	CHDH
brown	NT5DC2
brown	CAMK1D
brown	GNB5
brown	KIF20A
brown	AQP12A
brown	FDPS
brown	NR2F1
brown	SLC37A4
brown	SNAI2
brown	MPC1
brown	PLEKHA4
brown	TMEM97
brown	N4BP2L1
brown	CD81
brown	PRIM1
brown	STC2
brown	ARSE
brown	ARSD
brown	ABCB11
brown	AURKB
brown	ABCG8
brown	VSIG2
brown	C4orf3
brown	PLVAP
brown	FIGNL2
brown	FMO4
brown	ODC1
brown	CAPN5
brown	GLUD1
brown	MAN1C1
brown	ADGRG6
brown	CLIC1
brown	CBR4
brown	GOT2
brown	MCM7
brown	QPRT
brown	CLYBL
brown	RRS1
brown	BHMT2
brown	DNMT1
brown	CHN2
brown	MPZL2
brown	SORBS2
brown	SCGB3A1
brown	TACC1
brown	IL17D
brown	MESP1
brown	ETFDH
brown	GNG4
brown	PAG1
brown	DHX32
brown	TRIM2
brown	RNY5
brown	TUBB4A
brown	C3orf58
brown	SCNN1A
brown	KNG1
brown	GAMT
brown	CNIH4
brown	PPP1R16A
brown	LACTB2
brown	NPTX2
brown	GJA1
brown	MGLL
brown	SORT1
brown	GJB2
brown	TRIP13
brown	GLRX
brown	SERINC2
brown	IFNGR1
brown	SLC7A1
brown	HIST1H4C
brown	TPST1
brown	STXBP6
brown	IQGAP2
brown	TUBA1B
brown	PTMS
brown	C8orf33
brown	SMC4
brown	CRYL1
brown	ONECUT2
brown	STARD10
brown	QDPR
brown	HSD3B7
brown	EPO
brown	POR
brown	SLC51B
brown	HSPB8
brown	TFR2
brown	TMSB10
brown	SOBP
brown	CYP4X1
brown	GYS2
brown	SDPR
brown	SAT2
brown	MANF
brown	LAGE3
brown	CIDEC
brown	CEACAM6
brown	HMGCL
brown	PAQR4
brown	C1QTNF3
brown	DAO
brown	LPIN1
brown	TUFT1
brown	P4HTM
brown	GABRB3
brown	STMND1
brown	FYN
brown	PECR
brown	HDAC6
brown	SERPINC1
brown	LILRB5
brown	DANCR
brown	SNCAIP
brown	PMPCA
brown	ESPN
brown	NFIX
brown	TUSC3
brown	GCH1
brown	CENPN
brown	NFIA
brown	SNHG7
brown	PAPLN
brown	SKP2
brown	RIPPLY3
brown	CKAP4
brown	FAM102A
brown	SPON2
brown	YWHAZ
brown	TUBB2A
brown	BOP1
brown	FAM43A
brown	PIK3R1
brown	ACY1
brown	MIDN
brown	FAM83H
brown	GOLM1
brown	RAD51AP1
brown	SPRYD4
brown	PLA2G7
brown	LARP6
brown	FUOM
brown	RAMP3
brown	CYP11A1
brown	ATP2A2
brown	GLMP
brown	RCN1
brown	CCT3
brown	CYP17A1
brown	STRA13
brown	GAL3ST1
brown	BLVRB
brown	SSUH2
brown	TPD52L1
brown	CDT1
brown	LILRA5
brown	HADH
brown	ACSM1
brown	ABHD6
brown	PGM1
brown	IVD
brown	ORM2
brown	CRY2
brown	LAMB2
brown	LOC645166
brown	VAV3
brown	IMPA1
brown	SLC6A10P
brown	DNALI1
brown	CCNA2
brown	AP1M2
brown	NPR2
brown	SLC50A1
brown	PON2
brown	TMEM144
brown	ABCC2
brown	COL15A1
brown	ATAD2
brown	ENPP5
brown	CYP4A22
brown	SMG5
brown	RARRES2
brown	DLGAP5
brown	MRPL13
brown	PROS1
brown	FAM127B
brown	ZC2HC1C
brown	CLDN23
brown	HES4
brown	FAAH
brown	PAQR9
brown	P3H2
brown	TSPAN7
brown	TNFRSF1B
brown	AQP8
brown	CXorf57
brown	FAM149A
brown	ANTXR2
brown	HPRT1
brown	HMGB2
brown	SLC6A16
brown	PACSIN3
brown	SERPIND1
brown	MCOLN3
brown	NNT
brown	PLCG2
brown	SRD5A1
brown	RNLS
brown	PFKFB4
brown	FKBP11
brown	PPFIBP2
brown	PCDH20
brown	TGIF1
brown	NSMCE2
brown	TCEB1
brown	DBT
brown	KPNA2
brown	C5
brown	TTPAL
brown	SULT1C2
brown	IRAK1
brown	MRPS21
brown	CCDC25
brown	DGCR6
brown	FRAS1
brown	LOC389332
brown	PTGES3
brown	SERPINA3
brown	SYT17
brown	C2CD4B
brown	IRF7
brown	SDCBP
brown	TMOD1
brown	CTNNA2
brown	NSUN6
brown	FOXN4
brown	CENPF
brown	AASS
brown	EXT1
brown	SMOC1
brown	SEPT5
brown	CDC25B
brown	DHRS4-AS1
brown	ITLN1
brown	COL18A1
brown	MSC
brown	KLHL12
brown	IFI27L2
brown	C6orf48
brown	NME1
brown	NEU1
brown	KNTC1
brown	XYLB
brown	OLFML1
brown	PSPH
brown	COLEC10
brown	NEK6
brown	FOXD2
brown	ALAD
brown	GYG2
brown	RPL23AP87
brown	ITIH2
brown	RMI2
brown	EGFR
brown	HMGA1
brown	NUDT7
brown	DNAJC25
brown	MAP3K13
brown	NEDD9
brown	LRCOL1
brown	AGO2
brown	C11orf54
brown	HOXA13
brown	MYH10
brown	C19orf12
brown	RSPO3
brown	CX3CL1
brown	FAM127A
brown	IL13RA2
brown	TTK
brown	ORMDL3
brown	GLA
brown	IGF2BP1
brown	QPCT
brown	SHROOM3
brown	LRRC20
brown	ENTPD5
brown	SLC26A6
brown	C8orf59
brown	GLS
brown	SUB1
brown	PLPP3
brown	DDAH1
brown	TMEM176A
brown	GNPDA1
brown	LSM11
brown	SAMD5
brown	SLC2A1
brown	GK
brown	MAD2L1
brown	SPSB1
brown	ITLN2
brown	AIF1L
brown	LOX
brown	CH25H
brown	PCSK6
brown	DHRS7
brown	ARL2
brown	MARC2
brown	TPMT
brown	CD300LG
brown	C10orf35
brown	CD302
brown	TBCE
brown	GCNT2
brown	OTUD6B
brown	HSPA5
brown	MAP7
brown	FANCD2
brown	AMFR
brown	ACADSB
brown	DONSON
brown	DGAT2
brown	RAD51C
brown	KIF22
brown	SPG7
brown	SLC20A2
brown	DGCR6L
brown	AMHR2
brown	IFI27L1
brown	ZWINT
brown	RAB27B
brown	NUCB2
brown	AK3
brown	GRM8
brown	PALMD
brown	ARHGEF2
brown	NTN4
brown	HILPDA
brown	PRICKLE4
brown	BCAT1
brown	RPRML
brown	PRR15L
brown	IRS1
brown	ANKRD33
brown	SQSTM1
brown	ISM1
brown	REEP1
brown	SLC2A6
brown	SMARCA1
brown	F2
brown	ZFAND5
brown	ATP11C
