MODULE	GENE
green	SAA1
green	THRSP
green	C9
green	HGFAC
green	H19
green	NTS
green	MT1G
green	TDO2
green	FCN3
green	GCGR
green	FXYD2
green	RELN
green	CHI3L1
green	BCHE
green	HAMP
green	MT1F
green	MT1H
green	MT1M
green	HPGD
green	CRP
green	CETP
green	NAV2
green	IGFALS
green	CLRN3
green	MT1E
green	MT1X
green	MT1A
green	CYP2A6
green	MT2A
green	SERPINA11
green	PHLDA1
green	TPR
green	SDS
green	ATF5
green	ZG16
green	TMEM107
green	RND3
green	PGLYRP2
green	HSD17B13
green	CXCL2
green	MAGEA1
green	CLEC1B
green	CCL14
green	PIGR
green	ALDH8A1
green	FOSB
green	LCAT
green	NPC1L1
green	DNMT3L
green	SLC22A1
green	GLS2
green	SNORD13
green	LEPR
green	BBOX1
green	SMIM24
green	SKAP1
green	TMEM45A
green	KLKB1
green	FBP1
green	VNN1
green	IER3
green	FXYD1
green	AADAT
green	HSD17B2
green	PLIN2
green	FAM134B
green	ADM
green	IGF1
green	SLC25A47
green	CLIC6
green	PHGDH
green	ENO3
green	CD14
green	TSPAN12
green	CYFIP2
green	ANGPTL4
green	ADIRF
green	JUN
green	ADGRG7
green	KMO
green	ARG1
green	PZP
green	ANO1
green	FCN2
green	SEMA6A
green	CLEC4G
green	CDHR2
green	QSOX1
green	STOM
green	PPARGC1A
green	CLDN5
green	G0S2
green	C8orf4
green	ECM1
green	PCOLCE
green	PROZ
green	THBS4
green	C1QTNF1
green	IGFBP3
green	ASPG
green	OAS2
green	VIPR1
green	STEAP3
green	PRNP
green	GLDC
green	PTH1R
green	CRHBP
green	TFPI
green	DBH
green	CYP4V2
green	CDH1
green	SLC7A2
green	HMGCS2
green	ATOH8
green	SPIRE1
green	OXT
green	ZGPAT
green	CDKN1A
green	PYROXD2
green	ERBB2
green	PRSS8
green	LYVE1
green	TBX15
green	TXNIP
green	HRCT1
green	TRIM15
green	PLA2G16
green	ANXA2
green	CAP2
green	REEP6
green	ASS1
green	GSPT2
green	FLRT3
green	SHMT1
green	SLC7A5
green	KDM8
green	CHST7
green	CHST9
green	NUPR1
green	PRRG2
green	MARCO
green	NAT8
green	PLGLB1
green	BRSK1
green	GNAO1
green	MYOM2
green	TEX11
green	CPN1
green	CYP39A1
green	CTSB
green	UPP2
green	RNF125
green	SLC19A3
green	NOCT
green	STC1
green	DTX1
green	MFSD2A
green	SERPINF2
green	CDA
green	PIM1
green	COMT
green	SULT1A1
green	TMEM27
green	GSN
green	RFTN1
green	PAMR1
green	SLC38A2
green	SULF2
green	TGM2
green	ASGR2
green	CAMK2B
green	STAB2
green	GAS6
green	SPRY2
green	ACSL1
green	PLAC8
green	PDZK1
green	SULT1A2
green	F7
green	KCNN2
green	SSR2
green	HIST2H2BE
green	ERRFI1
green	ONECUT2
green	IGFBP4
green	TRIB1
green	GOT1
green	KYNU
green	AKR1C3
green	ID2
green	DHX32
green	CISH
green	HOXA10
green	SLC43A3
green	MAP2K3
green	GPR162
green	ADCYAP1R1
green	SLC2A9
green	ARHGAP10
green	SOX6
green	CYP2B7P
green	UGDH
green	CNDP1
green	OIT3
green	GPAA1
green	IL6
green	C1RL
green	LEF1
green	MASP1
green	STAB1
green	CD1D
green	GSTA4
green	TUBB4A
green	SLC39A14
green	PLVAP
green	PPP1R16A
green	ANGPTL6
green	AVPI1
green	SLC50A1
green	EFNA1
green	BOP1
green	KRT8
green	RRS1
green	C2CD4B
green	FBXL18
green	MPC1
green	PROSC
green	LAGE3
green	TPST1
green	RFX5
green	ILF2
green	MGLL
green	GLTPD2
green	MAMDC4
green	ADRA1A
green	SPON2
green	MAPT
green	FAM189B
green	TMIGD3
green	COLEC10
green	ULK4
green	OLFML1
green	SCNN1A
green	FAM83H
green	STRA13
green	IRF7
green	FEZ1
green	SPTBN5
green	GRM8
green	CBX3
green	CCDC25
green	LILRA5
green	PDXK
green	LILRB5
green	PCSK6
green	P3H2
green	GCH1
green	FKBP11
green	PABPC1
green	RNF43
green	C8orf33
green	MAN1C1
green	ITLN1
green	CCT3
green	STXBP6
green	HNF1A-AS1
green	ATP1B1
green	ADAR
green	FAM149A
green	KDM5B
green	TGIF1
green	GOT2
green	NEDD4L
green	PRCP
green	RAB11FIP4
green	SERPINA3
green	CA4
green	KLHL12
green	GLMP
green	LRCOL1
green	CARHSP1
green	CLUH
green	GBA
green	SAMD5
green	SHC1
green	LRRC20
green	TP53BP2
green	HPS5
green	NSUN6
green	DGAT2
green	NEU1
green	MRPS21
green	NAXE
green	ICK
green	HMGB3
green	PSMD4
green	FABP1
green	PNP
green	HSP90AB1
green	ACADVL
green	NFIL3
green	PLPP3
green	BTBD16
green	TPST2
green	FAHD1
green	CYGB
green	RSPO3
green	HIST2H4A
green	CD4
green	IRAK1
green	C17orf97
green	TGDS
green	SNTB1
green	TUFT1
green	GRINA
green	IER5L
