MODULE	GENE
grey	HLA-DRB5
grey	GSTT1
grey	SPINK1
grey	FLNC
grey	APOA4
grey	RPS4Y1
grey	PLA2G2A
grey	MYH4
grey	PAGE5
grey	HLA-A
grey	LOXL4
grey	DEFB1
grey	NQO1
grey	SNORD3C
grey	BEX2
grey	AKR1B15
grey	EEF1A2
grey	LYZ
grey	CD24
grey	CYP3A7
grey	LINC01451
grey	DHRS2
grey	PEG10
grey	ACSL4
grey	BICC1
grey	FCRLA
grey	HAL
grey	PRKAR1A
grey	VWF
grey	AKR1C2
grey	SLPI
grey	SLC16A9
grey	FOXQ1
grey	TSPAN8
grey	SCGN
grey	MME
grey	FNDC5
grey	GSTA2
grey	VAV3
grey	SPARCL1
grey	PAGE4
grey	GSTA5
grey	ERICH5
grey	INHBE
grey	IGFBP2
grey	SLC29A4
grey	ISG15
grey	COX7B2
grey	GSTA1
grey	GDF15
grey	SLC51A
grey	ALG11
grey	ALDOC
grey	BAIAP2L2
grey	EZR
grey	GSTO2
grey	ARL4A
grey	RNA28S5
grey	TMED3
grey	PTGR1
grey	MEP1A
grey	EIF1AY
grey	HKDC1
grey	HAO2
grey	CYP4F22
grey	FGL1
grey	FETUB
grey	MNS1
grey	ALDOB
grey	ALPK2
grey	SLC22A10
grey	NEU4
grey	PTGS2
grey	AHSG
grey	CYP2D6
grey	TCEAL8
grey	PAGE1
grey	TFF3
grey	IRX3
grey	CNTNAP2
grey	UGT2B17
grey	CKB
grey	UGT3A1
grey	TGM3
grey	EPO
grey	SCML1
grey	IFIT1
grey	MTMR11
grey	XPNPEP2
grey	TMEM98
grey	CHKA
grey	GPX2
grey	ACTG2
grey	MOCOS
grey	ITLN2
grey	HOXA13
grey	CYP2D7
grey	LRRC31
grey	SLC22A18
grey	TMEM45B
grey	ACMSD
grey	HILPDA
grey	TUBB2B
grey	RASD1
grey	HLA-DRB4
grey	GNG11
grey	INSIG1
grey	MYC
grey	SGCE
grey	DBNDD1
grey	DIO1
grey	LBP
grey	SNHG8
grey	IGFBP1
grey	BIRC3
grey	CACNA1H
grey	CABYR
grey	HULC
grey	NR4A2
grey	VTRNA1-1
grey	FAM171A1
grey	MYH11
grey	OCIAD2
grey	ACOX2
grey	IGF2BP2
grey	TSC22D3
grey	TSPAN13
grey	DUSP1
grey	ELMO1
grey	SLC16A10
grey	COL7A1
grey	CNGA1
grey	DDIT4
grey	EGR2
grey	ACKR3
grey	TFF1
grey	CYP3A5
grey	SERPINA6
grey	LAD1
grey	SCD
grey	CTSK
grey	IFIT2
grey	TNFRSF19
grey	ABCB1
grey	IL17RB
grey	CYP4F11
grey	HIST1H2BD
grey	GC
grey	CYP2C18
grey	FAM3B
grey	CGNL1
grey	DSG2
grey	BMP2
grey	PLCXD1
grey	MYRIP
grey	MAL2
grey	SLC1A2
grey	FABP4
grey	RAP1GAP
grey	AFF3
grey	VTCN1
grey	GJB2
grey	ATP6V0E2
grey	RGN
grey	SMARCA1
grey	UGT2A3
grey	SLC27A3
grey	PPP1R3C
grey	RNVU1-7
grey	ADD3
grey	IRS2
grey	C7orf50
grey	SCARA3
grey	RNU1-3
grey	TRIB3
grey	TM4SF4
grey	CDH15
grey	RPS4Y2
grey	BRSK2
grey	USH2A
grey	LOC730101
grey	CAPN12
grey	NPM3
grey	CLDN7
grey	RDH12
grey	ARID3A
grey	VEGFB
grey	HSD17B14
grey	NREP
grey	TRIM55
grey	MARC1
grey	HIST1H1C
grey	VCX2
grey	GALK1
grey	CPLX1
grey	TM4SF5
grey	PLA2G4C
grey	SLC6A10P
grey	ERAP2
grey	HLA-DQB1
grey	CEACAM1
grey	DCDC2
grey	SELENBP1
grey	TMEM238
grey	PANX2
grey	RAD21
grey	GRAMD4
grey	ZSCAN31
grey	SLC47A1
grey	PXDN
grey	VNN2
grey	PPARG
grey	CDH23
grey	TRNP1
grey	RHBG
grey	SHD
grey	ARRDC4
grey	ABCC3
grey	ECH1
grey	VSIG2
grey	ASNS
grey	GABRB3
grey	EPHX1
grey	IL13RA2
grey	CTHRC1
grey	PCOLCE2
grey	IMPA1
grey	FBXO2
grey	AGTR1
grey	STMN3
grey	RPS6KA3
grey	DACT2
grey	CGA
grey	SLC22A9
grey	HAS3
grey	C3orf14
grey	LRRC17
grey	IL32
grey	CTNND2
grey	TFIP11
grey	LIPG
grey	COL4A5
grey	PRG4
grey	PERP
grey	ATP9A
grey	MOGAT1
grey	CPE
grey	PLEK2
grey	MEIS2
grey	ITM2C
grey	ABCC6P1
grey	RAMP1
grey	LOC644936
grey	HTRA1
grey	GLDN
grey	CDS1
grey	ENPP3
grey	DSEL
grey	ANXA13
grey	GDF11
grey	ADGRG2
grey	EGFLAM
grey	FGF21
grey	LY6H
grey	P4HA1
grey	H2AFY2
grey	S100A13
grey	TC2N
grey	MROH2B
grey	GPR37
grey	WLS
grey	DMKN
grey	PCDH20
grey	AGR2
grey	IGSF23
grey	DHCR7
grey	PRPS2
grey	UTY
grey	SSUH2
grey	HIST2H2AC
grey	NPTX2
grey	C1orf53
grey	BTNL8
grey	SLC51B
grey	HOXA5
grey	GGH
grey	TESC
grey	RBPMS2
grey	SLC7A9
grey	HEY1
grey	IGSF1
grey	MLPH
grey	AVP
grey	PP7080
grey	COL22A1
grey	KCNK1
grey	LAT2
grey	CYP4X1
grey	ICA1
grey	SLC39A8
grey	MYCN
grey	GHRHR
grey	FCGBP
grey	PRAMEF4
grey	C9orf152
grey	NYNRIN
grey	TM4SF20
grey	P4HTM
grey	SIPA1L2
grey	FAM133A
grey	TP53INP1
grey	MATN2
grey	PLOD2
grey	NRBP2
grey	CADM1
grey	ITPR3
grey	CIDEC
grey	ANKRD35
grey	XIST
grey	C4A
grey	FCAMR
grey	DDC
grey	UNC93A
grey	MIR155HG
grey	FSTL5
grey	SSPN
grey	F2RL1
grey	UBA1
grey	PRAMEF9
grey	GPI
grey	GPAM
grey	MAP3K5
grey	TNFRSF12A
grey	ACE2
grey	PPM1H
grey	ACTA1
grey	FCGR1B
grey	FXYD3
grey	GREM1
grey	ASB9
grey	PNMA3
grey	APOM
grey	TCEA2
grey	DFNA5
grey	KIF1A
grey	ELF3
grey	OLR1
grey	PLPPR1
grey	ME1
grey	KRT23
grey	NAALADL1
grey	SP5
grey	SOX4
grey	UCHL1
grey	SOAT2
grey	AP1M2
grey	ZNF503
grey	ST3GAL1
grey	CP
grey	RAB11FIP1
grey	CNTFR
grey	GPC6
grey	PRSS3
grey	CNN3
grey	SSR4
grey	PLA1A
grey	FMO1
grey	LSS
grey	FIGNL2
grey	STEAP2
grey	GNG4
grey	MTMR7
grey	TEAD2
grey	APOL3
grey	ARHGEF16
grey	RBP2
grey	RNA18S5
grey	CLIC3
grey	TMED6
grey	PRMT6
grey	TNFSF10
grey	DDIT3
grey	RHOBTB1
grey	CCZ1B
grey	KRT222
grey	FGF19
grey	SERINC2
grey	EEF1A1
grey	TACC1
grey	AZIN1
grey	ACSS2
grey	ZNF331
grey	PCSK1N
grey	SLC35C1
grey	INHBB
grey	PDX1
grey	RNVU1-18
grey	CPS1-IT1
grey	DCAF4L2
grey	SERPINA12
grey	SNCAIP
grey	SLC5A6
grey	NT5E
grey	MALL
grey	MYL9
grey	AQP8
grey	KIFAP3
grey	DUSP9
grey	ABCB11
grey	SNAP25
grey	CBX2
grey	HMGCS1
grey	CSRP1
grey	JAZF1
grey	ASCL1
grey	MRAP
grey	FASN
grey	GPC5
grey	DUSP23
grey	TP53I13
grey	SLC12A2
grey	TLN2
grey	PALM
grey	NPR2
grey	C1orf64
grey	DIAPH3
grey	RPL14
grey	FAM127B
grey	SYNM
grey	MAP3K8
grey	MARCH6
grey	CTAG2
grey	LOC729970
grey	RERGL
grey	LACTB2
grey	SCCPDH
grey	FRAS1
grey	HSPA6
grey	ORAOV1
grey	CHRM3
grey	ATP2B2
grey	AIF1L
grey	TSPAN7
grey	EXT1
grey	SGK223
grey	HSPA12A
grey	DANCR
grey	HES4
grey	PHACTR1
grey	APOLD1
grey	SLC23A1
grey	CA9
grey	RGS5
grey	DBN1
grey	ELOVL2
grey	PLCZ1
grey	CAMK1D
grey	SMLR1
grey	NINJ2
grey	TMEM2
grey	TNNC1
grey	NRXN2
grey	AKAP12
grey	CHST15
grey	TRPM4
grey	TRIP6
grey	CREG1
grey	TUBA4A
grey	ADSSL1
grey	ZSCAN18
grey	GLRX
grey	LAMA5
grey	ACSM1
grey	MAGEB2
grey	KLF6
grey	PCNX2
grey	ABCC2
grey	CA14
grey	CBR1
grey	TUBB2A
grey	CNNM1
grey	SLC22A17
grey	ZC3H12A
grey	ENPP5
grey	GOLT1A
grey	ALDH7A1
grey	MYH3
grey	NPB
grey	RHOQ
grey	TOX2
grey	HSPB8
grey	CHURC1
grey	ITIH2
grey	EPHB6
grey	GPIHBP1
grey	GALC
grey	SOBP
grey	BBS2
grey	PODXL2
grey	GPR137B
grey	PYCR1
grey	LOC389332
grey	MERTK
grey	PBX1
grey	RABEPK
grey	GLS
grey	WFS1
grey	COBL
grey	KLK11
grey	CTNNA2
grey	DNAJB1
grey	PAEP
grey	GALNT18
grey	CTNNBL1
grey	GMDS
grey	RNU4ATAC
grey	SLC1A7
grey	NMRAL1P1
grey	COLEC12
grey	CD300LG
grey	ARL2
grey	XK
grey	ALDH3A2
grey	RGS12
grey	GRIA3
grey	TP53INP2
grey	FBXO32
grey	ARRDC2
grey	COQ10A
grey	RHOU
grey	RAPH1
grey	IGDCC3
grey	OPLAH
grey	GNAS
grey	PALMD
grey	GUCY2C
grey	APOD
grey	TGFBI
grey	ERP27
grey	PRAMEF10
grey	BTBD6
grey	DDAH1
grey	AQP11
grey	RNU1-1
grey	NUCB2
grey	EGFR
grey	SLC3A2
grey	AMER1
grey	CITED2
grey	GSTA3
grey	ABCB6
grey	MAP7D2
grey	DDTL
grey	CDKN1C
grey	GPX1
grey	PAG1
grey	PSD3
grey	DDT
grey	PCDHB2
grey	SPSB1
grey	IKBKG
grey	TRIM50
grey	ZNF467
grey	HIST1H4K
grey	HMGCR
grey	PRR15L
grey	GK
grey	MXD4
grey	FAM60A
grey	ABHD17C
grey	ISM1
grey	CHRDL2
grey	FAM134A
grey	VASN
grey	FOXA1
grey	CTSH
grey	SLC2A12
grey	PLCH2
