MODULE	GENE
pink	ALDH3A1
pink	BEX1
pink	REG3A
pink	CCL25
pink	KRT81
pink	SPANXD
pink	GPR88
pink	PRODH
pink	TKTL1
pink	REG1A
pink	SPP1
pink	SLC22A12
pink	COL8A1
pink	IFI27
pink	SPANXA2
pink	MFAP5
pink	KRT17
pink	SLC22A11
pink	REG1B
pink	RND2
pink	TMEM158
pink	CPA4
pink	CST1
pink	MYBPC1
pink	ODAM
pink	SPANXB1
pink	CYP1B1
pink	VCY
pink	SPOCK1
pink	SPANXA1
pink	C1QTNF3
pink	SH3GL3
pink	GLUL
pink	CYP17A1
pink	CHN1
pink	GABBR2
pink	OPRPN
pink	PTH2R
pink	PFKP
pink	ASPSCR1
pink	SLC13A3
pink	PTK7
pink	VLDLR
pink	HAPLN1
pink	PARM1
pink	PPME1
pink	NDP
pink	VIP
