MODULE	GENE
red	COL1A2
red	SERPINE2
red	COL1A1
red	MGP
red	ACKR3
red	COL5A2
red	S100A6
red	EFEMP1
red	VWF
red	VCAN
red	DKK3
red	SLC16A3
red	EMP1
red	COL5A1
red	TM4SF1
red	SLCO2A1
red	CRIP1
red	DPYSL3
red	TPM2
red	EPHX1
red	VIM
red	SPARC
red	IGFBP7
red	COL8A1
red	LGALS3
red	PFKP
red	COL6A3
red	WFDC2
red	LGALS1
red	MFGE8
red	ACTA2
red	FSTL1
red	FSCN1
red	ACKR1
red	PDGFRB
red	CD93
red	PAM
red	PMP22
red	CDH11
red	CMTM3
red	DPYSL2
red	MOXD1
red	DBN1
red	ANKRD1
red	SULF1
red	TAX1BP3
red	ANGPTL2
red	SPRY1
red	ADGRG1
red	FAM129B
red	CDH6
red	PECAM1
red	SLC7A9
red	RCAN2
red	CTSK
red	MAOA
red	LXN
red	CRIP2
