MODULE	GENE
turquoise	FAM83A-AS1
turquoise	CYP3A4
turquoise	HPD
turquoise	CYP2E1
turquoise	NAT2
turquoise	CYP1A1
turquoise	ADH1C
turquoise	SLCO1B3
turquoise	CYP1A2
turquoise	APOF
turquoise	AFM
turquoise	CLDN2
turquoise	CYP2A7
turquoise	ADH4
turquoise	UGP2
turquoise	GPC3
turquoise	GPER1
turquoise	LECT2
turquoise	ALDH1L1
turquoise	HEPACAM
turquoise	F9
turquoise	SAA4
turquoise	CRYAA
turquoise	HSD11B1
turquoise	RBP1
turquoise	DNASE1L3
turquoise	APOA5
turquoise	UBE2C
turquoise	CCNE1
turquoise	CYP2C8
turquoise	CYP8B1
turquoise	ABCA8
turquoise	GLYAT
turquoise	CDKN3
turquoise	LRRC26
turquoise	CFHR5
turquoise	MDK
turquoise	KIAA0101
turquoise	SPP2
turquoise	GBA3
turquoise	HBA2
turquoise	PON1
turquoise	ALG1L
turquoise	NR1I3
turquoise	SEZ6L2
turquoise	ADH1B
turquoise	TOP2A
turquoise	HBA1
turquoise	CYP26A1
turquoise	AQP9
turquoise	CFH
turquoise	RTP3
turquoise	SEPT4
turquoise	APOC4
turquoise	SLC13A5
turquoise	RDH16
turquoise	CYP2C9
turquoise	HPR
turquoise	FADS1
turquoise	RNASE4
turquoise	CPS1
turquoise	APCS
turquoise	AOX1
turquoise	BHMT
turquoise	ACACB
turquoise	AZGP1
turquoise	OTC
turquoise	HRG
turquoise	CDC20
turquoise	TAT
turquoise	GHR
turquoise	CYP4A11
turquoise	CPED1
turquoise	HBB
turquoise	MAT1A
turquoise	SOCS2
turquoise	UBD
turquoise	SLC10A1
turquoise	IFI6
turquoise	TTR
turquoise	FST
turquoise	PANK1
turquoise	NDUFA4L2
turquoise	CCND1
turquoise	CCL16
turquoise	PLG
turquoise	MBL2
turquoise	AKR7A3
turquoise	UGT2B10
turquoise	UPB1
turquoise	G6PC
turquoise	MLLT11
turquoise	PON3
turquoise	LIPC
turquoise	TSKU
turquoise	AKR1D1
turquoise	NEB
turquoise	RAB3IP
turquoise	FTCD
turquoise	UGT2B28
turquoise	DNAJC12
turquoise	FGB
turquoise	CFHR4
