MODULE	GENE
yellow	IGLL1
yellow	HLA-DRB5
yellow	HLA-DRB1
yellow	CXCL8
yellow	CXCL10
yellow	VCAM1
yellow	CXCL9
yellow	LY96
yellow	BIRC3
yellow	IFI6
yellow	HLA-DRB6
yellow	S100A9
yellow	ISG15
yellow	MX1
yellow	JCHAIN
yellow	CCL5
yellow	HLA-DRB4
yellow	RGS1
yellow	HLA-DRA
yellow	CD44
yellow	CD163
yellow	C1QC
yellow	PLTP
yellow	C1QB
yellow	SRGN
yellow	CYBA
yellow	RGS2
yellow	MS4A6A
yellow	HLA-B
yellow	SEL1L3
yellow	CD8A
yellow	HLA-DPA1
yellow	CD74
yellow	HMOX1
yellow	HLA-F
yellow	EPSTI1
yellow	TNFRSF21
yellow	HLA-DMA
yellow	C1orf162
yellow	FCER1G
yellow	YBX3
yellow	LTB
yellow	IFI44
yellow	FAM46C
yellow	IFI44L
yellow	ALOX5AP
yellow	HLA-H
yellow	ANXA5
yellow	CSF1R
yellow	BASP1
yellow	CD3D
yellow	STAT1
yellow	HLA-DMB
yellow	RENBP
yellow	NKG7
yellow	HLA-C
yellow	RAC2
yellow	TYROBP
yellow	GZMK
yellow	CD69
yellow	S100A4
yellow	NAPSB
yellow	GZMA
yellow	CD52
yellow	CCL3L3
yellow	PYCARD
yellow	LCP1
yellow	PRNP
yellow	KLRB1
yellow	ANXA1
yellow	ITGB2
yellow	ACP5
yellow	CEBPA
yellow	IL7R
yellow	HCP5
yellow	CD68
yellow	CD7
yellow	GBP1
yellow	AIF1
yellow	CECR1
yellow	ITM2A
yellow	TAP1
yellow	ADGRE5
yellow	RARRES3
yellow	HAVCR2
yellow	CXCL1
yellow	PLBD1
yellow	HCST
yellow	GSTP1
yellow	PLEK
yellow	CD48
yellow	EMP3
yellow	TSPO
yellow	UBE2E2
yellow	GIMAP4
yellow	CXCL13
yellow	HLA-G
yellow	CXCR4
yellow	MZB1
yellow	HCLS1
yellow	FXYD5
yellow	LAG3
yellow	ARHGEF3
yellow	KLF4
yellow	TYMP
yellow	GBP5
yellow	CCND2
yellow	CD247
yellow	S100A11
yellow	GPR183
yellow	TNFAIP3
yellow	EOMES
yellow	IFI30
yellow	LAPTM5
yellow	GVINP1
yellow	HK1
yellow	LINC01420
yellow	MS4A7
yellow	CD79A
yellow	GBP4
yellow	HCG4
yellow	MSN
yellow	ISG20
yellow	PSMB8
yellow	CCL4L1
yellow	LINGO4
yellow	LDHB
yellow	FAM89A
yellow	AKR1B1
yellow	IFI16
yellow	ARHGDIB
yellow	ABCG1
yellow	CCL8
yellow	IL18BP
yellow	TMEM51
yellow	HLA-E
yellow	HENMT1
yellow	FYB
yellow	GLIPR2
yellow	ADAMDEC1
yellow	HLA-DQB1
yellow	CD2
yellow	UCP2
yellow	TBC1D10C
yellow	GZMH
yellow	CMTM7
yellow	SLC15A3
yellow	SLAMF6
yellow	MX2
yellow	RAB31
yellow	UBE2L6
yellow	IRF1
yellow	GMFG
yellow	FGR
yellow	GZMB
yellow	RGS10
yellow	EVI2B
yellow	FGL2
yellow	GIMAP7
yellow	TRIM22
yellow	SLC4A7
yellow	SKIDA1
yellow	FPR3
yellow	CST3
yellow	SH3BGRL
yellow	FGD2
yellow	SLA
yellow	CASP4
yellow	PRKCB
yellow	SPOCK2
yellow	IRF9
yellow	SEMA4D
yellow	ETV5
yellow	FCN1
