MODULE	GENE
brown	HAMP
brown	CYP1A2
brown	SPINK1
brown	CYP3A4
brown	MT1H
brown	AKR1B10
brown	MT1G
brown	FCN3
brown	CYP2E1
brown	GPC3
brown	CRP
yellow	IGLL1
brown	REG3A
brown	CYP2A6
brown	C9
brown	MT1F
brown	MT1M
brown	H19
brown	MT1E
brown	ADH4
brown	LCN2
brown	THRSP
green	DCN
brown	GSTM2
brown	AKR1B15
brown	SDS
brown	SAA1
brown	MT1X
brown	GCGR
brown	HSD17B13
brown	HGFAC
yellow	HLA-DRB5
brown	ADH1C
brown	HSD11B1
black	GAGE2B
brown	DEFB1
grey	PLA2G2A
brown	NNMT
brown	SPP1
grey	GSTT1
black	GAGE4
black	GAGE6
brown	SLC22A1
brown	CYP2C8
brown	TAT
brown	AFP
brown	RNA28S5
black	GAGE12I
brown	SAA2
brown	S100P
black	GAGE12C
black	GAGE12G
brown	SLC10A1
brown	APOF
brown	HPD
brown	NPW
brown	CYP8B1
black	GAGE5
green	FXYD2
brown	GSTA2
brown	HEPACAM
brown	RELN
green	C7
brown	CYP2A7
brown	PAGE4
brown	ACSL4
blue	IFI27
brown	SPP2
brown	SLCO1B3
green	EPCAM
grey	CYP3A7
black	GAGE12J
black	GAGE12H
brown	ALDH3A1
brown	GPR88
brown	CCL20
blue	LYZ
blue	HLA-A
brown	GSTM1
brown	BBOX1
brown	RDH16
brown	PGC
grey	RPS4Y1
brown	TDO2
blue	UBD
brown	GBA3
brown	ADH1B
brown	CD24
grey	BEX1
brown	MUC13
brown	PEG10
brown	SERPINA11
brown	BCHE
grey	LGALS4
brown	MT2A
brown	FOSB
black	GAGE12B
brown	MDK
brown	SLC25A47
brown	PCK1
brown	PGLYRP2
brown	MT1A
brown	F9
brown	FNDC5
black	GAGE12F
brown	FOS
brown	LECT2
brown	NAT2
blue	SNORD3A
brown	CYP2C9
brown	ENO3
brown	CLEC1B
grey	PRKAR1A
brown	SHBG
brown	LY6E
brown	CPS1
brown	ADIRF
brown	CHI3L1
brown	CLRN3
brown	BHMT
brown	ATF5
black	COX7B2
brown	XPNPEP2
brown	EEF1A2
brown	FAM134B
brown	WDR72
blue	DHRS2
blue	SNORD3C
brown	AFM
brown	AOX1
brown	MBL2
brown	FAM83A-AS1
brown	IGFALS
brown	GLS2
black	GAGE2E
yellow	HLA-DRB1
brown	SAA4
brown	TPR
brown	APCS
green	MMP7
grey	GSTA1
brown	SLC22A7
grey	GPX2
brown	CST1
black	GAGE2A
brown	APOC4
brown	GHR
yellow	CXCL8
brown	BEX2
brown	TOP2A
blue	UGT2B15
green	TIMP1
brown	CRYAA
brown	DLK1
brown	SEZ6L2
blue	SNORD3D
green	TACSTD2
brown	SLC13A5
brown	NQO1
black	PAGE2B
brown	MME
brown	PRODH
brown	HRG
grey	SLPI
blue	SYT7
brown	TSPAN8
brown	RBP1
grey	AKR1C2
brown	HAL
green	BGN
brown	DNASE1L3
blue	PEG3
brown	NPC1L1
brown	CLEC4G
brown	AQP9
grey	NTS
brown	CFHR3
brown	IGF2
blue	SLC39A5
brown	FETUB
blue	FGL1
brown	GLYAT
brown	HPGD
brown	FADS1
brown	ALDH1L1
brown	FBP1
brown	COLEC11
brown	NEU4
brown	CFHR5
brown	HBA2
brown	ID1
brown	IGFBP2
brown	CYP4A11
blue	ANGPTL4
black	PAGE5
brown	SQLE
blue	CXCL2
brown	UGT2B10
brown	RNASE4
brown	MEP1A
green	LUM
brown	C6
brown	SERPINA7
brown	PHGDH
green	INMT
brown	SLC27A5
brown	CYP26A1
blue	PZP
brown	FOXQ1
brown	UGP2
brown	DKK4
black	SNAR-A1
brown	CTH
black	SLC51A
blue	CES1
brown	CYP2D6
blue	MEG3
brown	INHBE
brown	CLDN2
brown	CDC20
brown	UBE2C
brown	IRX3
brown	GNMT
brown	GADD45G
brown	IGF1
yellow	CXCL10
brown	LCAT
brown	REG1A
green	SPINT2
brown	PPARGC1A
brown	ECM1
brown	GSTA5
blue	CYP3A5
brown	CYP4F2
brown	IGFBP3
brown	ALG1L
brown	RASD1
brown	FXYD1
black	MAGEC2
brown	KBTBD11
brown	G6PC
brown	C8A
brown	INS-IGF2
brown	EGR1
brown	PON1
brown	ADAMTSL2
brown	C1QTNF1
yellow	VCAM1
brown	CXCL12
brown	FLNC
brown	APOA5
brown	FMO3
brown	UGT2B17
brown	ZG16
brown	ANGPTL8
brown	ASPG
brown	OAT
blue	CES1P1
brown	FAM3B
red	COL1A2
brown	ALPL
brown	PIGR
brown	CPED1
brown	ALPK2
brown	ALDOB
brown	ECHDC3
blue	CFHR4
brown	SMIM24
brown	FAM13A
brown	AKR7A3
grey	EIF1AY
blue	MYOM1
brown	IGFBP1
green	PTGDS
brown	FCN2
blue	HULC
brown	LINC01018
brown	C4BPA
brown	LAPTM4B
brown	HAO2
brown	AADAT
brown	TGM3
brown	HBB
grey	LOXL4
brown	ACSM5
brown	SLC7A2
red	SERPINE2
brown	CNTNAP2
brown	ANXA10
brown	AKR1D1
brown	TRPM8
brown	CETP
yellow	CXCL9
black	TSPY2
brown	LEPR
grey	TMED3
brown	PHLDA1
brown	SOCS2
grey	TRIM55
brown	CYR61
brown	HSPA1B
brown	AZGP1
blue	UGT2B4
brown	HSD17B2
brown	UGT2B28
green	MFAP4
brown	HKDC1
brown	LINC01451
brown	DKK1
brown	ARG1
brown	TSKU
brown	CYP2C18
brown	IER3
green	THBS2
brown	SLC29A4
brown	STEAP3
brown	KMO
brown	FABP4
black	CT47A7
brown	NR1I3
brown	CYFIP2
brown	PROZ
red	COL1A1
brown	ERICH5
brown	OGDHL
brown	LBP
brown	CCL16
brown	CYP1A1
green	C11orf96
brown	PTH1R
brown	PPP1R1A
brown	ALDH8A1
brown	CD14
brown	HPR
brown	RTP3
brown	VNN1
brown	HSD17B6
brown	SCGN
brown	APOA4
brown	SLC22A11
brown	FGGY
brown	CAP2
brown	CSRNP1
brown	SNORD13
grey	AXIN2
blue	PTGR1
brown	OTC
brown	ASPDH
brown	ABCA8
blue	SLC25A18
brown	EFHD1
brown	MYC
blue	CFHR1
brown	PITX1
brown	RDH5
brown	KLKB1
brown	SKAP1
blue	SGCE
brown	CTHRC1
brown	ODAM
brown	CYP2D7
brown	SEPT4
brown	AGXT
brown	GPT2
brown	ATOH8
grey	BAMBI
brown	DNAJC12
brown	HBA1
blue	UGT1A6
brown	ANO1
brown	LIPC
brown	MLLT11
brown	GPT
brown	C8orf4
brown	SLC38A4
brown	UGT2B11
yellow	LY96
yellow	BIRC3
brown	EVC2
brown	MASP2
brown	CDHR2
brown	ZGPAT
red	MGP
brown	SULT2A1
brown	DIO1
brown	DNMT3L
yellow	IFI6
grey	GSTO2
grey	GDF15
brown	FST
green	THBS1
brown	ACSM2B
brown	CRHBP
brown	SNORA22
blue	ENPP2
brown	ASPM
brown	PRC1
grey	CYP4F22
brown	MAGEA1
blue	EXOC3L4
grey	TNFRSF19
green	CCL19
grey	C2orf82
yellow	HLA-DRB6
brown	PCOLCE
green	PDGFRA
brown	HABP2
brown	PDK4
black	GAGE7
blue	KANK4
brown	SERPINE1
grey	NOTUM
grey	ALDOC
brown	CCL25
brown	UPB1
brown	ACTG2
brown	SLC46A3
brown	CCND1
brown	RND3
brown	A2M
black	VCX
brown	CDO1
grey	RND2
brown	BAIAP2L2
brown	CYP7A1
brown	FTCD
brown	OAS2
brown	CLDN15
blue	FKBP14
brown	LGALS3BP
brown	PLIN2
brown	GSTZ1
brown	IFITM1
blue	ZNF483
brown	CPVL
green	AEBP1
blue	NLRP8
brown	PYROXD2
blue	SPARCL1
green	CCL2
green	CXCL6
brown	ADGRG7
brown	DPYS
brown	ACACB
green	SLC2A3
brown	TMEM45A
blue	UGT1A1
brown	MAT1A
black	VCX3B
blue	LMOD3
brown	PRG4
brown	ADH1A
brown	GLDC
brown	DBH
yellow	S100A9
brown	DCXR
black	GAGE8
brown	CYP4V2
brown	C15orf48
green	COL3A1
black	TKTL1
brown	GADD45B
brown	PTTG1
brown	CUX2
blue	LOC107133515
brown	BEX3
brown	ABCB4
brown	C1R
brown	GCNT3
blue	USP49
blue	UGT1A4
green	CHST4
brown	CDKN3
yellow	ISG15
brown	MTMR11
brown	COCH
yellow	MX1
brown	PEMT
brown	CA5A
grey	LOC644936
brown	TMPRSS6
brown	PRSS8
grey	LAD1
grey	SLC16A9
grey	PCOLCE2
brown	TMEM45B
black	GTSF1
brown	KDM8
yellow	JCHAIN
brown	NEK2
black	CT45A3
brown	SHMT1
brown	NAT8B
blue	CCBE1
blue	CYP3A43
brown	PRODH2
yellow	CCL5
brown	TKFC
brown	VIPR1
blue	XRCC2
yellow	HLA-DRB4
brown	CSAD
blue	MGST1
blue	SHROOM4
brown	PNPLA7
brown	HSD17B14
yellow	RGS1
red	ACKR3
brown	SLC17A2
green	CCL21
yellow	HLA-DRA
blue	FAM151A
brown	TRNP1
brown	SRD5A2
brown	BST2
blue	TMEM17
grey	RNA18S5
blue	ZNF394
brown	VNN2
black	TSPAN13
black	GAGE12E
brown	CYP4F12
black	PAGE2
red	COL5A2
red	S100A6
brown	C8B
green	CTGF
brown	SCP2
brown	FGG
grey	GLUL
yellow	CD44
brown	C10orf10
brown	GPER1
blue	MFSD14C
brown	NCAPG
brown	STOM
brown	CPE
brown	ACSM3
green	TAGLN
blue	C21orf58
blue	AMACR
blue	CACNA1H
blue	IL17RD
brown	PLGLB1
yellow	CD163
blue	RPLP0
red	EFEMP1
blue	HNRNPU
brown	CA2
brown	RBP5
brown	PTGS2
brown	BAAT
brown	SLC26A3
brown	IGF2BP3
brown	CCNB2
blue	BLZF1
blue	LEP
blue	ZNF69
brown	TSC22D3
brown	SLC22A10
brown	HAO1
brown	SRXN1
blue	SEMA3E
black	VCX2
blue	LOC100128288
grey	IL32
brown	SERPINA5
brown	TM6SF2
black	VCX3A
brown	ETNPPL
brown	CXCL14
brown	F12
brown	ASS1
blue	DMC1
brown	MTTP
brown	NOCT
blue	NFKBIZ
brown	CCL14
brown	SLC2A2
blue	ZNF786
red	VWF
brown	SCML1
brown	GGH
brown	ANG
blue	DLC1
brown	ZBTB16
brown	CYP39A1
green	KRT19
yellow	C1QC
brown	PLG
blue	MAGT1
brown	VIL1
brown	SLC27A2
brown	KIAA0101
blue	CHRNA5
brown	STMN3
brown	RCL1
brown	FLRT3
blue	TUBA1C
brown	AKR1C4
blue	FMC1
brown	NDRG2
brown	IFIT1
brown	NUSAP1
green	PROM1
blue	AOC4P
brown	DUSP6
yellow	PLTP
blue	ARL16
brown	TYMS
yellow	C1QB
brown	HOGA1
brown	ACSL1
green	FHL2
blue	C3
brown	ACMSD
grey	SLC22A18
brown	DUSP1
brown	PTTG3P
brown	ESM1
brown	HFE2
blue	CFHR2
brown	MMP9
brown	TMEM107
brown	FAM171A1
blue	ZNF738
yellow	SRGN
blue	RNU4-2
blue	HYPK
blue	RAD51
blue	ZNF14
brown	RUNDC3B
blue	SLC25A51
black	SELM
blue	PAXIP1-AS1
blue	FAM175A
brown	HPX
brown	DBNDD1
brown	CFH
blue	APOPT1
brown	CAMK2B
blue	VNN3
brown	KDELR3
brown	MAL2
brown	DDIT4
brown	SLC6A12
blue	TDP1
blue	PPA2
blue	DDX51
brown	ABAT
brown	MNS1
blue	ZNF682
grey	CDK6
blue	TP53INP1
grey	BICC1
brown	LRRC1
brown	GMNN
brown	ALDH1B1
brown	ALDH6A1
brown	UGT3A1
brown	SOD2
blue	GRAMD4
brown	SORL1
blue	RTN4
brown	TTC36
blue	TNFSF14
yellow	CYBA
brown	TBX15
brown	DUSP5
brown	HIST2H2AA3
blue	NR4A2
brown	ERBB2
grey	ICA1
blue	TMEM14A
brown	OXT
brown	MARCO
brown	PAMR1
blue	MCMDC2
brown	MIR99AHG
brown	CD79B
red	VCAN
yellow	RGS2
yellow	MS4A6A
brown	SEC14L2
blue	EXO5
brown	WNK4
brown	RGN
blue	GPNMB
blue	SCD
brown	AUTS2
brown	SGK1
brown	GPR37
brown	AURKA
blue	UGT1A10
green	TFF3
brown	QSOX1
brown	TXNRD1
brown	CDH1
grey	ANXA13
blue	FAT1
brown	OCIAD2
brown	MYH4
blue	TCEAL8
brown	SEMA6A
brown	SIK1
blue	C2orf69
brown	CES2
green	S100A8
blue	NPIPB3
brown	LPA
brown	COL22A1
green	FBLN1
blue	GATM
brown	TMEM98
brown	PLA2G16
blue	MIGA1
brown	ZIC2
brown	GNAO1
brown	ADM
brown	VEGFB
blue	SNHG5
brown	G6PD
blue	IDO2
brown	GPAT3
blue	ANXA2
brown	ACOT12
brown	EVA1A
blue	CEP19
blue	PNPT1
brown	RND1
blue	DTWD2
blue	TMEM106A
green	ALDH1A3
yellow	HLA-B
brown	NKD1
blue	CRCP
blue	BMS1P5
black	SSX1
yellow	SEL1L3
brown	CMBL
blue	TFPI
brown	CDCA5
blue	SPN
brown	OASL
brown	TUBB2B
yellow	CD8A
brown	SERPINF2
blue	SPTLC1
brown	RAMP1
brown	CDKN1A
brown	STAB2
brown	SLC19A3
yellow	HLA-DPA1
brown	PANX2
brown	H2AFZ
blue	HSD17B7
blue	GSDMB
brown	PON3
brown	AMDHD1
black	LIN28B
blue	MSMO1
blue	QRFPR
grey	FGF21
blue	ERAP2
brown	SLC25A15
brown	TTR
brown	CABYR
black	FAM133A
brown	TMEM27
brown	NAV2
brown	RHOB
blue	N4BP2
red	DKK3
brown	IL17RB
black	NLGN4X
brown	PDZK1IP1
brown	AGXT2
brown	HERC5
black	TSPY8
yellow	CD74
brown	TCEAL9
brown	LEAP2
blue	SERPINA6
brown	ITPKA
blue	EPDR1
brown	ZFP36
green	MYH11
brown	ZCCHC6
brown	SDSL
brown	REEP6
blue	CKS1B
brown	HMMR
brown	SMYD3
brown	H2AFY2
green	MUC1
blue	DUSP19
blue	ALDOA
blue	PHYH
brown	NUPR1
grey	TFF2
black	VCY
blue	CAPN12
brown	AR
brown	MFSD2A
brown	THBS4
brown	FGA
blue	SEC14L4
brown	GABARAPL1
blue	TMEM267
brown	SOX9
blue	DENR
brown	HIST1H1C
blue	ALPP
brown	ARID3A
brown	MCM2
blue	ADAP1
brown	CBS
brown	SLC38A1
brown	RAB3IP
blue	ZNF549
brown	S100A10
brown	IGF2BP2
blue	EID2B
green	TNFRSF12A
black	NDN
blue	CYP21A2
blue	CDKN2AIPNL
brown	LIPG
blue	GPR1
brown	GSN
brown	PPP1R3C
yellow	HMOX1
brown	IGSF1
brown	SLC1A2
blue	NCALD
brown	TMEM47
brown	HIST2H2AA4
brown	SYBU
green	CRISPLD2
brown	MAP1LC3A
brown	HSPA1A
brown	ADGRV1
blue	LOC100134868
brown	ADH6
brown	SIPA1L2
brown	CEMIP
brown	RNF125
blue	SNRPN
brown	MYRIP
brown	EPHX2
blue	OCIAD1
brown	TESC
brown	EHHADH
yellow	HLA-F
brown	ANGPTL3
brown	NREP
brown	TRIM31
blue	SSTR2
grey	P4HA1
grey	PRAMEF4
brown	SLC25A25
green	MXRA5
brown	PRRG2
blue	CPB2
brown	THY1
blue	LRRFIP1
brown	SEPP1
blue	SUMO2
blue	CYP1B1
blue	NUBPL
blue	RPS4X
brown	SULT1A1
brown	TXNIP
brown	HGD
brown	CSF3R
brown	PSAT1
brown	DPT
grey	COL4A5
brown	IL1RN
brown	KCNN2
brown	SLC22A12
brown	NEB
blue	POFUT1
brown	LRG1
yellow	EPSTI1
brown	TM4SF5
brown	CREB3L3
grey	CLDN7
brown	VWCE
brown	RRAGD
blue	HIST1H2BK
blue	RNA5S9
yellow	TNFRSF21
blue	TENM1
brown	FOXA3
brown	CENPW
brown	RFTN1
brown	ETNK2
brown	TCP10L
brown	CKB
brown	WLS
brown	RIDA
blue	MBD4
brown	PKLR
brown	ACSL5
blue	SLC35E1
blue	PALLD
brown	CPEB3
brown	AHSG
blue	RPL17
blue	PLA2G2D
brown	G0S2
brown	PIPOX
brown	CD34
brown	MYOM2
brown	PFKFB3
blue	GPR180
brown	TM7SF2
grey	NYNRIN
blue	METTL21A
brown	ADCYAP1R1
brown	UBE2T
green	CLIC6
brown	CPN2
brown	TKT
red	SLC16A3
brown	PNMA3
brown	IYD
blue	OSTC
brown	CDH15
brown	TMEM86B
brown	BRSK2
black	AGR2
blue	FMO5
blue	TSC22D1
green	IGFBP5
blue	CAV2
brown	SLC38A2
green	SVEP1
brown	SULF2
blue	UNC93A
brown	PAH
brown	BRSK1
blue	PDZK1
blue	ADCY1
brown	PBK
brown	CDA
grey	SLC39A8
brown	CXCL16
brown	COMT
red	EMP1
brown	F11
blue	STRIP2
brown	MMP12
green	CRYAB
blue	C4BPB
brown	JUN
brown	GAS6
yellow	HLA-DMA
blue	NRBP2
brown	INSIG1
brown	UPP2
brown	HIST1H2BD
brown	PANK1
blue	AGL
blue	SORD
red	COL5A1
blue	SMCR5
yellow	C1orf162
brown	ASGR2
grey	CDS1
blue	DTNA
blue	SPTBN1
brown	TMEM154
blue	ACTG1
blue	RAX2
brown	ANKRD37
brown	STK39
brown	SRPX
brown	GFRA1
brown	MTHFD1
blue	RHBDL2
blue	RGCC
brown	IGFBP4
brown	ST3GAL6
brown	RAD21
blue	MLXIPL
brown	C8G
brown	STC1
brown	TGM2
yellow	FCER1G
blue	IL10
yellow	YBX3
brown	PPP2R2B
blue	XAF1
brown	CKS2
brown	GADD45A
grey	RAP1GAP
blue	CACYBP
brown	XDH
yellow	LTB
brown	ELOVL6
blue	GOLGA6L6
brown	LRRC31
grey	XIST
yellow	IFI44
brown	MELK
brown	CDC45
blue	F13B
green	CFD
brown	CYP4F3
brown	PAFAH1B3
brown	CA12
blue	TRIM13
brown	SERPING1
brown	MLPH
blue	TNFSF15
brown	NR1I2
grey	PRAMEF9
yellow	FAM46C
brown	RFC4
blue	RNU4-1
brown	CPN1
brown	NDUFA4L2
brown	SDCBP2
brown	ZNF385B
blue	SNURF
blue	HIST1H2AC
brown	NTHL1
brown	F7
grey	GABBR2
blue	TCAF2
brown	F2RL1
brown	FCAMR
blue	ZNF223
red	TM4SF1
brown	MARC1
brown	ADGRL2
blue	TDRD1
brown	ETS2
brown	TCEA2
yellow	IFI44L
blue	ITPK1-AS1
brown	PLA2G4C
yellow	ALOX5AP
brown	DGCR5
blue	CSF2RA
blue	CCDC125
brown	MBNL3
brown	DMGDH
brown	CCZ1B
brown	NR0B2
blue	RPL15
brown	ATF3
brown	SLC38A3
blue	CALD1
blue	ALG11
blue	RPS15A
red	SLCO2A1
red	CRIP1
brown	GCKR
brown	CIDEB
yellow	HLA-H
brown	C19orf66
blue	C8orf37
blue	UGT1A9
brown	LIME1
brown	AKR1C3
brown	ANXA2P1
blue	STEAP1
brown	C9orf152
blue	VPS41
blue	YRDC
brown	CNDP1
brown	LYVE1
brown	SELENBP1
green	FSTL3
brown	ECT2
yellow	ANXA5
blue	HSD17B11
brown	ACAD11
brown	SPIRE1
brown	TMEM82
brown	ANKRD35
brown	MARCKS
brown	GPAM
blue	GOLGA8B
blue	HINT3
blue	EIF2AK4
brown	NPL
brown	NAT8
brown	PIM1
brown	FNDC4
brown	TMPRSS2
blue	COL7A1
brown	CAT
yellow	CSF1R
brown	FAM83D
blue	FAM63A
yellow	BASP1
blue	HACD4
blue	OPRPN
brown	COL2A1
brown	SERTAD1
yellow	CD3D
blue	CD36
grey	RBPMS2
blue	PLIN5
brown	MCM6
blue	PCDHB9
blue	USMG5
blue	CREB1
yellow	STAT1
brown	GCDH
blue	ITIH4
brown	MMP11
brown	RAP2A
brown	RORC
brown	TFRC
brown	GLYATL1
brown	GPX7
brown	PIR
green	COL6A1
green	ANTXR1
brown	DHRS1
brown	PLAC8
brown	ITIH1
brown	GPLD1
grey	SNORA12
blue	SNAPC1
blue	FGFR3
brown	PPP2R1B
yellow	HLA-DMB
red	DPYSL3
brown	PCK2
blue	ZDHHC11
brown	SLC17A3
blue	C20orf24
brown	SC5D
blue	ATP5F1
brown	DTX1
blue	TPM1
brown	ASNS
brown	MAPK13
blue	INIP
brown	ABCC3
brown	KCNJ8
brown	ABCC4
brown	RCAN1
green	CYBRD1
blue	HSPA8
brown	CELSR3
brown	SLCO1B1
grey	ST3GAL1
brown	COL4A1
brown	ARHGAP10
blue	PLPPR1
blue	NPIPB5
brown	SULT1A2
yellow	RENBP
blue	ZMAT3
red	TPM2
brown	NIPAL1
brown	SLC6A1
brown	TEX11
brown	RHBG
brown	CDK1
yellow	NKG7
blue	UQCRH
blue	PGGHG
blue	PTH2R
brown	DACT2
blue	C1S
blue	CYB5A
green	TIMP2
brown	SSR2
brown	MLLT10
blue	RPL39L
blue	ZNF486
blue	CKLF
brown	ACADS
blue	ACTB
blue	SLC4A5
brown	RAB26
blue	RPS7
brown	ITPR3
brown	ALDH2
green	FBLN2
blue	RARRES1
blue	CSRP2
brown	ACAA2
brown	ME1
blue	AADAC
blue	ENSA
brown	FGB
brown	ADGRG2
brown	TGFBR3
grey	ASPSCR1
brown	CLGN
blue	SLC5A8
brown	RGS5
brown	ADHFE1
blue	PSMC4
brown	SLC16A10
blue	AMY2A
brown	ACAA1
brown	KIFC1
brown	CYP27A1
yellow	HLA-C
blue	SLC23A2
yellow	RAC2
brown	SOWAHA
brown	ERRFI1
brown	GBP2
blue	D2HGDH
yellow	TYROBP
grey	SLC27A3
blue	SDHAP1
brown	CTSV
grey	EPHA1
brown	RAB11FIP1
brown	HLF
brown	IGSF3
brown	MAGED1
yellow	GZMK
brown	HOXA10
brown	HSP90AA1
grey	RPS4Y2
brown	BHLHE40
yellow	CD69
grey	ASB9
blue	ARF4
grey	TRIB3
brown	MCM4
red	EPHX1
blue	ABCB1
blue	THNSL2
green	APLNR
red	VIM
grey	ELF3
red	SPARC
brown	NDRG1
brown	CDHR5
brown	CISH
brown	ATP6V1C1
brown	NRCAM
yellow	S100A4
brown	NMRAL1
brown	LHPP
grey	HTRA1
blue	LONP2
brown	LINC00261
brown	HIST2H2AC
brown	PEX11G
brown	FEN1
blue	PIPSL
brown	THOP1
brown	ABCA6
blue	IL4R
brown	MACROD1
red	IGFBP7
blue	SREBF1
brown	PRAP1
brown	LRRC26
brown	NR2F2
blue	LSR
blue	ACCS
brown	GOT1
brown	DDC
brown	UHRF1
brown	SLC47A1
brown	SLC7A5
brown	C1orf106
brown	PFN2
brown	OIP5
green	CLDN10
blue	MOCOS
brown	SOX4
brown	STAMBPL1
blue	RPL7
brown	SFN
brown	CNGA1
brown	GCAT
blue	IDH1
brown	CP
green	KRT7
brown	TP53I3
brown	COBLL1
brown	CHST9
blue	SCG5
brown	NECAB2
blue	PXMP2
blue	SYPL1
brown	ANPEP
yellow	NAPSB
blue	EEF1B2
brown	SLC17A4
brown	CYP4F11
red	COL8A1
brown	TBX3
blue	BTNL10
blue	HAUS2
brown	ZSCAN31
brown	RACGAP1
brown	KRTCAP3
brown	MASP1
brown	HOXA5
blue	MCM8
brown	PNCK
blue	GSTTP2
blue	ZDHHC8
blue	CTSC
brown	CDCA7
brown	LOC730101
brown	SERPINA10
brown	ACE2
brown	PRSS3
brown	PLA1A
brown	GSPT2
blue	TOMM20
yellow	GZMA
brown	IDI1
brown	FAM107A
brown	CYP2B6
black	CGNL1
brown	KHK
blue	RNASE1
brown	GLDN
brown	RANBP3L
brown	ECHDC2
brown	ALDH5A1
brown	NAALADL1
brown	IFIT3
yellow	CD52
brown	SOAT2
brown	FBXO31
brown	ESR1
brown	APOM
brown	GREM2
brown	LDHD
brown	GINS2
brown	DSG2
brown	ATP6V0E2
brown	SLC2A5
brown	BOLA2
brown	PPP1R15A
brown	HMGCS2
blue	SNORA14A
green	AXL
blue	CHMP5
grey	FCGBP
blue	FASN
blue	LOC100190986
brown	HMGCS1
brown	SLC35C1
blue	TMPRSS3
blue	BCYRN1
brown	SPOCK1
brown	CCDC34
yellow	CCL3L3
blue	PGAM1
brown	TMCO3
blue	MBTD1
blue	TMEM156
brown	PFKFB1
brown	DAB2
brown	SOCS3
brown	HPN
brown	TRIM15
brown	IDH2
brown	RAB17
brown	FURIN
brown	ADI1
brown	UGDH
brown	FBXL18
red	LGALS3
brown	LDLR
brown	GNE
grey	IRS2
brown	ECM2
blue	PSMB9
blue	TBC1D32
green	IRF8
blue	ZNF577
grey	RNVU1-7
grey	MATN2
brown	ELOVL2
brown	PABPC1
brown	TRIB1
